Map 37: Ruins Out  (84x84, tileset=4)
  Event 137: EV137 @ (22,21)
  Event 138: EV138 @ (39,29)
  Event 139: EV139 @ (52,34)
  Event 140: EV140 @ (64,43)
  Event 141: EV141 @ (63,58)
  Event 142: EV142 @ (59,63)
  Event 143: EV143 @ (52,68)
  Event 144: EV144 @ (39,77)
  Event 145: EV145 @ (32,82)
  Event 146: EV146 @ (31,71)
  Event 147: EV147 @ (21,72)
  Event 148: EV148 @ (12,58)
  Event 149: EV149 @ (9,44)
  Event 150: EV150 @ (17,18)
  Event 151: EV151 @ (32,25)
  Event 152: EV152 @ (52,27)
  Event 153: EV153 @ (61,40)
  Event 154: EV154 @ (67,46)
  Event 155: EV155 @ (64,60)
  Event 156: EV156 @ (53,66)
  Event 157: EV157 @ (42,73)
  Event 158: EV158 @ (23,62)
  Event 159: EV159 @ (7,47)
  Event 160: EV160 @ (9,64)
  Event 161: EV161 @ (16,60)
  Event 162: EV162 @ (7,36)
  Event 163: EV163 @ (23,23)
  Event 164: EV164 @ (6,16)
  Event 165: EV165 @ (49,31)
  Event 166: EV166 @ (69,49)
  Event 167: EV167 @ (60,65)
  Event 168: EV168 @ (57,63)
  Event 169: EV169 @ (54,69)
  Event 170: EV170 @ (40,76)
  Event 171: EV171 @ (35,80)
  Event 172: EV172 @ (16,72)
  Event 173: carpet @ (30,35)
  Event 174: carpet @ (29,35)
  Event 175: carpet @ (28,35)
  Event 176: wagon @ (24,34)
  Event 177: wagon @ (23,34)
  Event 178: wagon @ (22,34)
  Event 179: wagon @ (21,34)
  Event 180: EV180 @ (55,62)
    Page0: trigger=0  <face The flood can take away our farmlands...> | <face ...but it can't take away our fish!>
  Event 181: EV181 @ (55,60)
  Event 182: EV182 @ (53,62)
    Page0: trigger=0  <face @niko These look like herrings.> | <face @niko_speak Or... anchovies?> | <face @niko Maybe sardines...> | <face @niko_eyeclosed I honestly have no clue!>
  Event 183: decorative bell @ (46,31)
  Event 184: fireflies @ (34,36)
    Page0: trigger=0  <face @niko A couple of fireflies are buzzing about in this jar.>
  Event 185: EV185 @ (34,38)
  Event 186: EV186 @ (40,25)
  Event 187: EV187 @ (54,33)
  Event 188: EV188 @ (61,37)
  Event 189: EV189 @ (68,53)
  Event 190: EV190 @ (51,72)
  Event 191: EV191 @ (23,73)
  Event 192: EV192 @ (11,52)
  Event 193: EV193 @ (43,30)
    Page0: trigger=1  <face @alula_oh Oh!> | <face @alula_oh This is the shrine where the old prophet used to live...> | <face @niko_speak Oh?> | <face @alula_pout I don't remember the last time I was here...> | <face @alula_speak Back when she was still alive, I think?>
