Map 127: Research Station  (100x100, tileset=4)
  Event 92: EV092 @ (61,63)
  Event 93: EV093 @ (57,64)
  Event 94: EV094 @ (53,64)
  Event 95: EV095 @ (46,60)
  Event 96: EV096 @ (56,64)
  Event 97: EV097 @ (48,61)
  Event 98: EV098 @ (64,63)
  Event 99: EV099 @ (66,63)
  Event 100: EV100 @ (73,63)
  Event 101: EV101 @ (68,64)
  Event 102: EV102 @ (76,61)
  Event 103: EV103 @ (45,59)
  Event 104: EV104 @ (50,40)
  Event 105: EV105 @ (42,41)
  Event 106: EV106 @ (24,40)
  Event 107: EV107 @ (15,38)
  Event 108: EV108 @ (19,40)
  Event 109: EV109 @ (41,28)
  Event 110: EV110 @ (42,28)
  Event 111: EV111 @ (40,28)
  Event 112: EV112 @ (43,28)
  Event 113: EV113 @ (46,29)
  Event 114: EV114 @ (61,34)
  Event 115: EV115 @ (66,34)
  Event 116: EV116 @ (62,34)
  Event 117: EV117 @ (63,34)
  Event 118: EV118 @ (65,34)
  Event 119: EV119 @ (64,34)
  Event 120: EV120 @ (67,34)
  Event 121: EV121 @ (68,33)
  Event 122: EV122 @ (69,32)
  Event 123: EV123 @ (71,31)
  Event 124: EV124 @ (72,30)
  Event 125: EV125 @ (70,31)
  Event 126: EV126 @ (82,52)
  Event 127: EV127 @ (71,64)
  Event 128: EV128 @ (33,32)
  Event 129: EV129 @ (15,31)
  Event 130: EV130 @ (48,55)
  Event 131: EV131 @ (9,34)
  Event 132: EV132 @ (32,25)
  Event 133: EV133 @ (40,30)
  Event 134: EV134 @ (43,43)
  Event 135: EV135 @ (56,40)
  Event 136: EV136 @ (62,39)
  Event 137: EV137 @ (30,40)
  Event 138: EV138 @ (19,42)
  Event 139: EV139 @ (72,33)
  Event 140: EV140 @ (82,56)
  Event 141: EV141 @ (75,65)
  Event 142: EV142 @ (80,59)
  Event 143: EV143 @ (62,66)
  Event 144: EV144 @ (68,65)
  Event 145: EV145 @ (55,65)
  Event 146: EV146 @ (47,62)
  Event 147: EV147 @ (38,56)
  Event 148: EV148 @ (42,64)
  Event 149: EV149 @ (39,48)
  Event 150: EV150 @ (37,52)
  Event 151: EV151 @ (87,44)
  Event 152: EV152 @ (79,36)
  Event 153: EV153 @ (36,26)
  Event 154: EV154 @ (26,42)
  Event 155: EV155 @ (26,23)
  Event 156: EV156 @ (33,24)
  Event 157: EV157 @ (16,40)
  Event 158: EV158 @ (33,45)
  Event 159: EV159 @ (31,23)
  Event 160: EV160 @ (10,38)
  Event 161: EV161 @ (55,41)
  Event 162: EV162 @ (64,36)
  Event 163: EV163 @ (71,34)
  Event 164: EV164 @ (67,43)
  Event 165: EV165 @ (60,48)
  Event 166: EV166 @ (50,63)
  Event 167: EV167 @ (44,59)
  Event 168: EV168 @ (41,56)
  Event 169: EV169 @ (39,51)
  Event 170: EV170 @ (78,63)
  Event 171: EV171 @ (85,52)
  Event 172: EV172 @ (71,66)
  Event 173: EV173 @ (65,64)
  Event 174: EV174 @ (78,38)
  Event 175: EV175 @ (84,41)
  Event 176: EV176 @ (58,42)
  Event 177: EV177 @ (39,42)
  Event 178: EV178 @ (25,45)
  Event 179: EV179 @ (34,37)
  Event 180: EV180 @ (21,44)
  Event 181: EV181 @ (14,39)
  Event 182: EV182 @ (8,36)
  Event 183: EV183 @ (49,62)
  Event 184: EV184 @ (43,61)
  Event 185: EV185 @ (39,53)
  Event 186: EV186 @ (36,47)
  Event 187: EV187 @ (65,47)
  Event 188: EV188 @ (63,44)
  Event 189: EV189 @ (65,38)
  Event 190: EV190 @ (70,33)
  Event 191: EV191 @ (83,54)
  Event 192: EV192 @ (58,65)
  Event 193: EV193 @ (48,65)
  Event 194: EV194 @ (40,58)
  Event 195: EV195 @ (45,63)
  Event 196: EV196 @ (63,65)
  Event 197: EV197 @ (76,63)
  Event 198: EV198 @ (81,56)
  Event 199: EV199 @ (83,52)
  Event 200: EV200 @ (69,44)
  Event 201: EV201 @ (66,41)
  Event 202: EV202 @ (36,43)
  Event 203: EV203 @ (27,40)
  Event 204: EV204 @ (23,42)
  Event 205: EV205 @ (15,42)
  Event 206: EV206 @ (12,37)
  Event 207: EV207 @ (10,31)
  Event 208: EV208 @ (39,25)
  Event 209: EV209 @ (38,35)
  Event 210: EV210 @ (52,41)
  Event 211: EV211 @ (62,36)
  Event 212: EV212 @ (68,35)
  Event 213: EV213 @ (32,38)
  Event 214: EV214 @ (21,41)
  Event 215: EV215 @ (15,26)
  Event 216: EV216 @ (24,24)
  Event 217: EV217 @ (34,25)
  Event 218: EV218 @ (42,31)
  Event 219: EV219 @ (41,44)
  Event 220: EV220 @ (56,44)
  Event 221: EV221 @ (56,47)
  Event 222: EV222 @ (60,49)
  Event 223: EV223 @ (74,34)
  Event 224: EV224 @ (85,44)
  Event 225: EV225 @ (57,67)
  Event 226: EV226 @ (67,66)
  Event 227: EV227 @ (74,64)
  Event 228: EV228 @ (61,64)
  Event 229: EV229 @ (51,67)
  Event 230: EV230 @ (55,67)
  Event 231: EV231 @ (42,58)
  Event 232: EV232 @ (79,61)
  Event 233: EV233 @ (64,64)
  Event 234: EV234 @ (60,65)
  Event 235: EV235 @ (53,66)
  Event 236: EV236 @ (51,64)
  Event 237: EV237 @ (45,60)
  Event 238: EV238 @ (50,42)
  Event 239: EV239 @ (39,36)
  Event 240: EV240 @ (35,39)
  Event 241: EV241 @ (59,39)
  Event 242: EV242 @ (65,35)
  Event 243: EV243 @ (68,41)
  Event 244: EV244 @ (77,37)
  Event 245: EV245 @ (81,40)
  Event 246: EV246 @ (84,51)
  Event 247: EV247 @ (72,65)
  Event 248: EV248 @ (41,54)
  Event 249: EV249 @ (40,49)
  Event 250: EV250 @ (40,39)
  Event 251: EV251 @ (46,31)
  Event 252: EV252 @ (18,24)
  Event 253: EV253 @ (12,25)
  Event 254: EV254 @ (11,29)
  Event 255: EV255 @ (8,32)
  Event 256: EV256 @ (13,40)
  Event 257: EV257 @ (38,46)
  Event 258: EV258 @ (25,41)
  Event 259: EV259 @ (36,36)
  Event 260: EV260 @ (41,32)
  Event 261: EV261 @ (43,29)
  Event 262: EV262 @ (38,29)
  Event 263: EV263 @ (41,42)
  Event 264: EV264 @ (53,40)
  Event 265: EV265 @ (60,37)
  Event 266: EV266 @ (61,35)
  Event 267: EV267 @ (69,34)
  Event 268: EV268 @ (73,31)
  Event 269: EV269 @ (76,31)
  Event 270: EV270 @ (64,40)
  Event 271: EV271 @ (57,39)
  Event 272: EV272 @ (74,28)
  Event 273: EV273 @ (68,45)
  Event 274: EV274 @ (66,49)
  Event 275: EV275 @ (54,45)
  Event 276: EV276 @ (29,43)
  Event 277: EV277 @ (11,41)
  Event 278: EV278 @ (69,56)
  Event 279: EV279 @ (68,57)
  Event 280: EV280 @ (70,56)
  Event 281: EV281 @ (71,56)
  Event 282: FAST TRAVEL @ (57,34)
  Event 283: door left @ (38,28)
  Event 284: door left @ (39,37)
  Event 285: door left @ (55,38)
  Event 286: EV286 @ (19,20)
  Event 287: EV287 @ (19,19)
  Event 288: EV288 @ (22,20)
  Event 289: EV289 @ (22,19)
