Map 19: Docks  (70x80, tileset=2)
  Event 127: EV127 @ (30,46)
  Event 128: EV128 @ (42,64)
  Event 129: EV129 @ (45,76)
  Event 130: EV130 @ (38,12)
  Event 131: EV131 @ (40,28)
  Event 132: EV132 @ (34,44)
  Event 133: EV133 @ (40,63)
  Event 134: EV134 @ (36,68)
  Event 135: EV135 @ (46,73)
  Event 136: EV136 @ (37,65)
  Event 137: EV137 @ (37,46)
  Event 138: EV138 @ (37,30)
  Event 139: EV139 @ (40,19)
  Event 140: EV140 @ (45,9)
  Event 141: EV141 @ (39,5)
  Event 142: EV142 @ (42,14)
  Event 143: EV143 @ (43,25)
  Event 144: EV144 @ (34,30)
  Event 145: EV145 @ (33,46)
  Event 146: EV146 @ (37,53)
  Event 147: EV147 @ (43,61)
  Event 148: EV148 @ (43,68)
  Event 149: EV149 @ (40,76)
  Event 150: EV150 @ (36,65)
  Event 151: EV151 @ (45,66)
  Event 152: EV152 @ (39,64)
  Event 153: EV153 @ (33,44)
  Event 154: EV154 @ (38,30)
  Event 155: EV155 @ (35,24)
  Event 156: EV156 @ (37,10)
  Event 157: EV157 @ (40,2)
  Event 158: EV158 @ (38,8)
  Event 159: EV159 @ (36,14)
  Event 160: EV160 @ (36,26)
  Event 161: EV161 @ (44,33)
  Event 162: EV162 @ (44,42)
  Event 163: EV163 @ (39,51)
  Event 164: EV164 @ (43,63)
  Event 165: EV165 @ (37,71)
  Event 166: EV166 @ (50,78)
  Event 167: EV167 @ (37,19)
  Event 168: EV168 @ (36,32)
  Event 169: EV169 @ (34,45)
  Event 170: EV170 @ (41,60)
  Event 171: EV171 @ (34,70)
  Event 172: EV172 @ (45,79)
  Event 173: EV173 @ (42,78)
  Event 174: EV174 @ (40,73)
  Event 175: EV175 @ (38,70)
  Event 176: EV176 @ (35,69)
  Event 177: EV177 @ (38,64)
  Event 178: EV178 @ (41,56)
  Event 179: EV179 @ (39,56)
  Event 180: EV180 @ (32,49)
  Event 181: EV181 @ (35,42)
  Event 182: EV182 @ (36,37)
  Event 183: EV183 @ (36,30)
  Event 184: EV184 @ (36,23)
  Event 185: EV185 @ (37,12)
  Event 186: EV186 @ (39,7)
  Event 187: EV187 @ (41,1)
  Event 188: EV188 @ (48,13)
  Event 189: EV189 @ (37,16)
  Event 190: EV190 @ (37,25)
  Event 191: EV191 @ (39,31)
  Event 192: EV192 @ (36,35)
  Event 193: EV193 @ (36,42)
  Event 194: EV194 @ (33,48)
  Event 195: EV195 @ (44,55)
  Event 196: EV196 @ (41,65)
  Event 197: EV197 @ (39,62)
  Event 198: EV198 @ (34,68)
  Event 199: EV199 @ (38,72)
  Event 200: EV200 @ (42,76)
  Event 201: EV201 @ (48,79)
  Event 202: EV202 @ (45,69)
  Event 203: EV203 @ (36,48)
  Event 204: EV204 @ (37,68)
  Event 205: EV205 @ (42,56)
  Event 206: EV206 @ (39,48)
  Event 207: EV207 @ (28,46)
  Event 208: EV208 @ (41,34)
  Event 209: EV209 @ (38,38)
  Event 210: EV210 @ (35,31)
  Event 211: EV211 @ (37,24)
  Event 212: EV212 @ (39,15)
  Event 213: EV213 @ (37,8)
  Event 214: EV214 @ (31,48)
  Event 215: EV215 @ (38,16)
  Event 216: EV216 @ (37,27)
  Event 217: EV217 @ (38,32)
  Event 218: EV218 @ (37,37)
  Event 219: EV219 @ (34,42)
  Event 220: EV220 @ (29,45)
  Event 221: EV221 @ (37,52)
  Event 222: EV222 @ (40,57)
  Event 223: EV223 @ (41,62)
  Event 224: EV224 @ (39,70)
  Event 225: EV225 @ (68,53)
  Event 226: EV226 @ (41,75)
  Event 227: EV227 @ (36,15)
  Event 228: EV228 @ (35,23)
  Event 229: EV229 @ (34,31)
  Event 230: EV230 @ (43,3)
    Page0: trigger=0  <face @niko I can see a green glow in the distance.> | <face @ed [The horizon glows a faint green.]>
