Map 239: burial grounds PLANE FIXED  (120x100, tileset=4)
  Event 79: EV079 @ (64,46)
  Event 80: EV080 @ (62,61)
  Event 81: EV081 @ (68,43)
  Event 82: EV082 @ (65,61)
  Event 83: EV083 @ (67,62)
  Event 84: EV084 @ (68,62)
  Event 85: EV085 @ (72,63)
  Event 86: EV086 @ (76,63)
  Event 87: EV087 @ (82,61)
  Event 88: EV088 @ (31,49)
  Event 89: EV089 @ (41,42)
  Event 90: EV090 @ (46,41)
  Event 91: EV091 @ (30,48)
  Event 92: EV092 @ (37,61)
  Event 93: EV093 @ (22,45)
  Event 94: EV094 @ (23,46)
  Event 95: EV095 @ (36,61)
  Event 96: EV096 @ (35,61)
  Event 97: EV097 @ (44,60)
  Event 98: EV098 @ (53,48)
  Event 99: EV099 @ (57,48)
  Event 100: EV100 @ (63,61)
  Event 101: EV101 @ (81,61)
  Event 102: EV102 @ (71,63)
  Event 103: EV103 @ (73,63)
  Event 104: EV104 @ (59,62)
  Event 105: EV105 @ (57,62)
  Event 106: EV106 @ (51,61)
  Event 107: EV107 @ (48,60)
  Event 108: EV108 @ (41,60)
  Event 109: EV109 @ (31,59)
  Event 110: EV110 @ (38,49)
  Event 111: EV111 @ (28,48)
  Event 112: EV112 @ (24,47)
  Event 113: EV113 @ (50,41)
  Event 114: EV114 @ (45,41)
  Event 115: EV115 @ (44,41)
  Event 116: EV116 @ (53,62)
  Event 117: EV117 @ (50,61)
  Event 118: EV118 @ (45,60)
  Event 119: EV119 @ (66,62)
  Event 120: EV120 @ (79,62)
  Event 121: EV121 @ (54,48)
  Event 122: EV122 @ (52,48)
  Event 123: EV123 @ (33,50)
  Event 124: EV124 @ (32,50)
  Event 125: EV125 @ (36,50)
  Event 126: fire action @ (76,57)
    Page0: trigger=0  <face @niko It's a fire.>
  Event 127: EV127 @ (40,61)
  Event 128: init @ (68,42)
  Event 129: cedric npc @ (77,57)
  Event 130: EV130 @ (3,34)
  Event 131: EV131 @ (15,43)
  Event 132: EV132 @ (16,34)
    Page1: trigger=1  <face @niko We made it!> | <face @calamus C'mon, Alula.\>\nLet's go see mom.> | <face @alula_speak Okay!>
  Event 133: boat @ (15,34)
  Event 134: calamus @ (46,39)
    Page0: trigger=0  <face @calamus This is her grave...>
    Page1: trigger=0  <face @calamus We're just about done here, so let us know when you want to go back to the ruins.> | <face @niko Okay.> | <face @niko Hey, do you know where I could find a battery?> | <face @calamus Good question..> | <face @calamus_heh We...\.\. don't really use electricity in the Glen.> | <face @niko_eyeclosed Ah.> | <face @calamus_speak Oh, but there are robots at the research station!\>\nIf there's a battery anywhere, they'd know where it is.> | <face @niko Gotcha, thanks!>
  Event 135: alula @ (48,39)
    Page0: trigger=0  <face @alula Hi mom...>
    Page1: trigger=0  <face @alula Didja find any...\@alula_pout ...any...> | <face @alula_oh ...what were you looking for again?> | <face @niko_speak Gears?> | <face @alula_speak Gears!\>\@alula Didja find any of those?> | <face @niko No, but... I found this music box though!> | <face @alula_gasp Ooooh!> | <face @niko Do you know where I could find some gears?> | <face @alula Gears?\>\nWhat's... that?> | <face @niko_speak It's like...\.\. A metal circle thing with teeth!> | <face @alula_speak A circle... with teeth?!> | <face @alula_speak Haha, that sounds so silly!\>\nLike something Magpie would have!> | <face @niko Magpie?> | <face @alula Y'know, the trader guy!> | <face @alula He collects all kinds of funny stuff!> | <face @alula_speak I mean, he even keeps around broken glass and junk!> | <face @niko ...> | <face @niko_speak ...Oh yeah! \@niko\>I think I know who you're talking about.> | <face @alula_speak He's such a weirdo!>
  Event 136: EV136 @ (39,36)
  Event 137: EV137 @ (47,36)
  Event 138: EV138 @ (53,35)
  Event 139: EV139 @ (51,32)
  Event 140: EV140 @ (45,33)
  Event 141: EV141 @ (44,31)
  Event 142: EV142 @ (49,30)
  Event 143: EV143 @ (53,29)
  Event 144: EV144 @ (47,27)
  Event 145: EV145 @ (41,26)
  Event 146: EV146 @ (39,29)
  Event 147: EV147 @ (40,32)
  Event 148: EV148 @ (38,33)
  Event 149: EV149 @ (34,34)
  Event 150: EV150 @ (34,28)
  Event 151: EV151 @ (37,25)
  Event 152: EV152 @ (31,30)
  Event 153: EV153 @ (23,30)
  Event 154: EV154 @ (28,35)
  Event 155: EV155 @ (23,39)
  Event 156: EV156 @ (30,40)
  Event 157: EV157 @ (23,44)
  Event 158: EV158 @ (33,46)
  Event 159: EV159 @ (40,48)
  Event 160: EV160 @ (43,45)
  Event 161: EV161 @ (47,43)
  Event 162: EV162 @ (55,43)
  Event 163: EV163 @ (60,42)
  Event 164: EV164 @ (60,50)
  Event 165: EV165 @ (52,52)
  Event 166: EV166 @ (42,58)
  Event 167: EV167 @ (37,52)
  Event 168: EV168 @ (33,53)
  Event 169: EV169 @ (32,58)
  Event 170: EV170 @ (34,60)
  Event 171: EV171 @ (39,50)
  Event 172: EV172 @ (20,42)
  Event 173: EV173 @ (19,40)
  Event 174: EV174 @ (54,39)
  Event 175: EV175 @ (56,37)
  Event 176: EV176 @ (55,38)
  Event 177: EV177 @ (52,40)
  Event 178: EV178 @ (51,41)
  Event 179: EV179 @ (40,42)
  Event 180: EV180 @ (34,36)
  Event 181: EV181 @ (32,34)
  Event 182: EV182 @ (30,33)
  Event 183: EV183 @ (33,35)
  Event 184: EV184 @ (37,39)
  Event 185: EV185 @ (39,41)
  Event 186: EV186 @ (35,36)
  Event 187: FAST TRAVEL @ (21,34)
  Event 188: EV188 @ (74,54)
    Page0: trigger=3  <face @cedric ...it's fixed.> | <face @cedric We can leave in the next five minutes, if you are ready.> | <face @niko_eyeclosed ...alright.> | <face @niko_distressed2 ...> | <face @cedric_sigh I understand if you are upset.> | <face @cedric3 But please...\.\. try to understand.> | <face @cedric_sigh My father is doing this to help all of us.> | <face @cedric And that includes you, Niko.> | <face @cedric_sigh2 The fact that you can't even go back home...\> I'm sure it upsets him greatly.> | <face @cedric It's...> | <face @cedric_sigh Sigh...> | <face @cedric_sigh2 The world means a lot to him, you know...> | <face @niko2 So... \.\.how does flying...\.\. work?> | <face @cedric_talk ...wait, don't these machines already exist in your world? \>\n\@cedric_hmm You should already know what to expect...> | <face @niko_eyeclosed Not really...> | <face @niko I've only heard about them!> | <face @niko_eyeclosed They're usually... a lot bigger than this one, anyway.> | <face @cedric3 Ah...> | <face @cedric_talk Well, a word of precaution, before we take to the air...> | <face @cedric_talk Please try not to panic.> | <face @cedric_smile It takes a few minutes of getting used to, but it's not that bad once you are in the air.> | <face @niko_eyeclosed I'll... try.> | <face @niko_speak Oh! I should probably tell Calamus and Alula where I'm going.> | <face @cedric_talk You mean those two running over here now?> | <face @alula_oh Niko!!!!> | <face @alula_oh Bad news!> | <face @calamus_shock The boat is gone!> | <face @niko3 What?!> | <face @alula_oh It's the squares!> | <face @calamus_speak It looks like they're headed in this direction!> | <face @niko3 That's...> | <face @cedric_eek ...fast...> | <face @cedric_talk ...Calamus, right?> | <face @calamus Yeah?> | <face @cedric_talk How...\.\. bad, is it?> | <face @calamus Doesn't seem to be of immediate danger.> | <face @cedric_sigh Then... it is of priority that I take you to the city first, Niko> | <face @niko2 But what about them...?> | <face @cedric I can make a detour later and drop you guys off in the city too, if you want.> | <face @cedric_talk The city is better equipped to handle the squares, you'll be safer there.> | <face @alula_gasp YOU'RE TAKING US TO THE CITY!!!> | <face @cedric_smile If you wish.> | <face @alula_gasp OH YEAH!!!> | <face @cedric Alright.> | <face @cedric3 I will be back here in an hour, so please wait for me until then.> | <face @niko You guys sure you'll be fine here?> | <face @alula Mhm!> | <face @calamus_speak The squares are still moving pretty slowly for now...> | <face @niko2 Alright, then...> | <face @niko_speak Guess we'll run into each other again, soon...> | <face @niko_speak I'm ready to go!> | <face @cedric_smile Alright!>
  Event 189: EV189 @ (76,59)
  Event 190: EV190 @ (67,60)
  Event 191: EV191 @ (67,61)
  Event 192: EV192 @ (66,58)
  Event 193: EV193 @ (66,57)
  Event 194: EV194 @ (67,56)
  Event 195: EV195 @ (67,55)
  Event 196: EV196 @ (68,54)
  Event 198: EV198 @ (66,59)
