Map 14: Outpost  (90x50, tileset=2)
    Page4: trigger=0  <face @prophet [I Wish You Luck On The Rest Of Your Journey.]> | <face @prophet [Hello Again.]> | <face @niko Hi!> | <face @niko_speak \p and I are gonna leave now! \@niko We found a robot that can take us closer to the Tower!> | <face @prophet_omg [Oh!]> | <face @niko Thanks for helping me and answering my questions!> | <face @prophet_omg [That Means I have Fulfilled My Purpose!]> | <face @niko Mhm!> | <face @prophet [I Wish You Luck On The Rest Of Your Journey.]> | <face @prophet [Hello Again.]> | <face @prophet [Are There More Questions You Wish To Ask?]> | <face @niko> | <face @niko Mhm!> | <face @prophet [Go On Then, Ask Away.]> | <face @niko_speak Can you tell me about...> | <face @niko It's so...\.\. empty here...> | <face @prophet [That's Why It's Called The Barrens.]> | <face @niko ...are there... ANY people living in this area?> | <face @niko ...besides robots, I mean.> | <face @prophet [I Do Not Know.]> | <face @prophet [I Was Not Built To Wander.]> | <face @niko ...not...\.built to?> | <face @niko So... \.\. you just stand here? \>\n\@niko_eyeclosed Must be boring...> | <face @niko_speak Do you at least have friends? \>\n\@niko Robot...\. friends?> | <face @prophet [I Cannot Desire Companionship.]\n\> \@prophet_hmm [I Have Not Been Tamed.]> | <face @niko Not... tamed?> | <face @prophet [There Was No Time.]> | <face @niko I see...> | <face @niko So...\.\.\n\@niko_speak What is this prophecy, exactly?> | <face @prophet [The Prophet Predicted That A Savior Will Arrive From Another Land.]> | <face @prophet [The Savior Will Wake Up In A Strange House, Find The Sun, And Illuminate The World.]> | <face @niko Oh...> | <face @niko_speak What else did you...uh, foresee?> | <face @prophet [What Do You Mean?]> | <face @niko_speak What else did you see in the prophecy?> | <face @prophet [???]> | <face @niko_speak Wait... \.\. You ARE the prophet, right?> | <face @prophet [Good Heavens, No!]> | <face @niko_speak But you called it "my prophecy" earlier...> | <face @prophet [That Just Means It Is Built Into My Programming.]> | <face @niko ...Your... \.\.\@niko_speak what?> | <face @prophet [Ah. My Programming Is What Guides Me.]> | <face @prophet_hmm [I Am A Robot, After All.]> | <face @niko I see...> | <face @niko_speak How tall is the Tower?> | <face @niko I can't seem to even see the top...> | <face @prophet [I Am Not Allowed To Answer.]> | <face @niko But...how do I get up there?> | <face @prophet [In Time, \p Will Know What To Do.]> | <face @niko_eyeclosed I...see.> | <face @niko It's alright, thank you.> | <face @prophet [In That Case, I Wish You Safe Travels.]>
  Event 7: FAST TRAVEL @ (27,23)
  Event 8: gasmask off @ (27,5)
  Event 9: !smallpool @ (40,29)
  Event 10: !smallpool @ (17,27)
  Event 13: EV013 @ (16,9)
  Event 14: EV014 @ (15,10)
  Event 17: EV017 @ (15,8)
  Event 18: EV018 @ (17,13)
  Event 19: EV019 @ (9,8)
  Event 20: EV020 @ (24,7)
  Event 21: EV021 @ (23,9)
  Event 23: EV023 @ (18,10)
  Event 24: EV024 @ (26,8)
  Event 25: EV025 @ (25,8)
  Event 26: EV026 @ (27,8)
  Event 27: EV027 @ (28,8)
  Event 29: EV029 @ (22,13)
  Event 33: EV033 @ (23,12)
  Event 35: EV035 @ (18,12)
  Event 38: EV038 @ (16,11)
  Event 39: EV039 @ (19,10)
  Event 40: EV040 @ (21,8)
  Event 49: EV049 @ (9,12)
  Event 51: EV051 @ (27,10)
  Event 52: EV052 @ (30,11)
  Event 53: EV053 @ (29,10)
  Event 54: EV054 @ (12,7)
  Event 55: EV055 @ (11,11)
  Event 56: EV056 @ (2,9)
  Event 57: EV057 @ (6,11)
  Event 59: EV059 @ (31,8)
  Event 61: EV061 @ (25,12)
  Event 62: EV062 @ (12,9)
  Event 63: EV063 @ (13,10)
  Event 64: EV064 @ (10,9)
  Event 65: EV065 @ (38,9)
  Event 67: EV067 @ (46,8)
  Event 68: EV068 @ (49,14)
  Event 69: EV069 @ (55,17)
  Event 71: EV071 @ (55,10)
  Event 72: EV072 @ (53,14)
  Event 73: EV073 @ (70,15)
  Event 74: EV074 @ (67,16)
  Event 75: EV075 @ (64,12)
  Event 78: EV078 @ (62,16)
  Event 79: EV079 @ (64,17)
  Event 81: EV081 @ (61,12)
  Event 83: EV083 @ (57,10)
  Event 84: EV084 @ (59,10)
  Event 88: EV088 @ (61,14)
  Event 89: EV089 @ (67,11)
  Event 90: EV090 @ (72,16)
  Event 92: EV092 @ (59,12)
  Event 93: EV093 @ (56,12)
  Event 94: EV094 @ (50,10)
  Event 95: EV095 @ (71,13)
  Event 96: EV096 @ (46,12)
  Event 97: EV097 @ (56,16)
  Event 98: EV098 @ (58,17)
  Event 99: EV099 @ (50,16)
  Event 100: EV100 @ (47,14)
  Event 104: EV104 @ (65,15)
  Event 106: EV106 @ (74,18)
  Event 107: EV107 @ (33,10)
  Event 109: EV109 @ (16,14)
  Event 110: EV110 @ (14,12)
  Event 111: EV111 @ (3,8)
  Event 112: EV112 @ (7,12)
  Event 113: EV113 @ (48,11)
  Event 114: EV114 @ (57,14)
  Event 115: EV115 @ (44,12)
  Event 117: EV117 @ (36,8)
  Event 118: EV118 @ (36,14)
  Event 120: EV120 @ (63,10)
  Event 122: EV122 @ (76,15)
  Event 126: EV126 @ (74,15)
  Event 128: EV128 @ (83,13)
  Event 129: EV129 @ (37,5)
  Event 130: EV130 @ (72,11)
  Event 131: EV131 @ (21,6)
  Event 132: EV132 @ (40,11)
  Event 133: EV133 @ (52,12)
  Event 136: EV136 @ (67,14)
  Event 137: EV137 @ (35,11)
  Event 138: EV138 @ (0,13)
  Event 139: EV139 @ (7,7)
  Event 142: EV142 @ (33,8)
  Event 143: EV143 @ (24,11)
  Event 145: EV145 @ (8,10)
  Event 146: EV146 @ (3,12)
  Event 147: EV147 @ (66,13)
  Event 148: EV148 @ (76,19)
  Event 150: EV150 @ (41,9)
  Event 152: EV152 @ (79,18)
  Event 154: EV154 @ (44,10)
  Event 156: EV156 @ (10,13)
  Event 157: EV157 @ (28,12)
  Event 159: EV159 @ (48,9)
  Event 161: EV161 @ (63,15)
  Event 162: EV162 @ (77,21)
  Event 163: EV163 @ (42,12)
  Event 165: EV165 @ (5,13)
  Event 166: EV166 @ (53,16)
  Event 168: EV168 @ (87,17)
  Event 169: EV169 @ (49,12)
  Event 171: EV171 @ (87,14)
  Event 172: EV172 @ (17,7)
  Event 173: EV173 @ (5,8)
  Event 176: EV176 @ (22,11)
  Event 177: EV177 @ (32,11)
  Event 178: EV178 @ (51,15)
  Event 180: EV180 @ (68,18)
  Event 181: EV181 @ (78,20)
  Event 183: EV183 @ (81,16)
  Event 184: EV184 @ (55,15)
  Event 186: EV186 @ (38,11)
  Event 188: EV188 @ (12,12)
  Event 189: EV189 @ (2,12)
  Event 191: EV191 @ (59,15)
  Event 192: EV192 @ (65,10)
  Event 193: EV193 @ (19,13)
  Event 195: EV195 @ (26,9)
  Event 199: EV199 @ (1,10)
  Event 200: EV200 @ (39,12)
  Event 201: EV201 @ (54,13)
  Event 203: EV203 @ (69,17)
  Event 204: EV204 @ (75,20)
  Event 205: EV205 @ (81,20)
  Event 206: EV206 @ (84,17)
  Event 207: EV207 @ (88,16)
  Event 208: EV208 @ (86,18)
  Event 210: EV210 @ (80,19)
  Event 211: EV211 @ (88,18)
  Event 212: EV212 @ (82,18)
  Event 214: EV214 @ (18,18)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko A robot.> | <face @niko_eyeclosed It's beyond repair.>
  Event 215: EV215 @ (19,33)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko A robot.> | <face @niko_eyeclosed It's beyond repair.>
