Map 29: Village  (104x74, tileset=4)
  Event 62: EV062 @ (20,43)
  Event 63: EV063 @ (22,44)
  Event 64: EV064 @ (19,43)
  Event 65: EV065 @ (18,43)
  Event 66: EV066 @ (17,43)
  Event 67: EV067 @ (12,29)
  Event 68: EV068 @ (8,35)
  Event 69: EV069 @ (7,34)
  Event 70: EV070 @ (38,43)
  Event 71: EV071 @ (37,43)
  Event 72: EV072 @ (42,45)
  Event 73: EV073 @ (43,45)
  Event 74: EV074 @ (46,44)
  Event 75: EV075 @ (52,42)
  Event 76: EV076 @ (58,41)
  Event 77: EV077 @ (57,42)
  Event 78: EV078 @ (16,43)
  Event 79: EV079 @ (18,45)
  Event 80: EV080 @ (20,47)
  Event 81: ram @ (86,42)
  Event 82: ram @ (69,37)
  Event 83: ram @ (74,49)
  Event 84: ram @ (90,41)
  Event 85: ram @ (82,33)
  Event 86: ram @ (73,33)
  Event 87: ram @ (63,36)
  Event 88: ram @ (71,47)
  Event 89: ram @ (87,34)
  Event 90: EV090 @ (60,36)
  Event 91: EV091 @ (66,65)
  Event 92: EV092 @ (53,45)
  Event 93: EV093 @ (65,41)
  Event 94: EV094 @ (63,47)
  Event 95: EV095 @ (68,44)
  Event 96: EV096 @ (71,48)
  Event 97: EV097 @ (69,47)
  Event 98: EV098 @ (72,51)
  Event 99: EV099 @ (74,53)
  Event 100: EV100 @ (73,53)
  Event 101: EV101 @ (75,54)
  Event 102: EV102 @ (70,54)
  Event 103: EV103 @ (77,55)
  Event 104: EV104 @ (87,55)
  Event 105: EV105 @ (83,55)
  Event 106: EV106 @ (82,55)
  Event 107: EV107 @ (80,55)
  Event 108: EV108 @ (89,58)
  Event 109: EV109 @ (91,56)
  Event 110: EV110 @ (92,55)
  Event 111: EV111 @ (95,57)
  Event 112: EV112 @ (96,57)
  Event 113: EV113 @ (103,54)
  Event 114: EV114 @ (102,55)
  Event 115: EV115 @ (101,55)
  Event 116: EV116 @ (100,56)
  Event 117: EV117 @ (99,57)
  Event 118: EV118 @ (82,65)
  Event 119: EV119 @ (79,66)
  Event 120: EV120 @ (78,64)
  Event 121: EV121 @ (83,64)
  Event 122: EV122 @ (67,65)
  Event 123: EV123 @ (68,65)
  Event 124: EV124 @ (63,64)
  Event 125: EV125 @ (62,64)
  Event 126: EV126 @ (60,63)
  Event 127: EV127 @ (72,63)
  Event 128: EV128 @ (71,64)
  Event 129: EV129 @ (36,43)
  Event 130: EV130 @ (35,44)
  Event 131: EV131 @ (39,45)
  Event 132: EV132 @ (41,45)
  Event 133: EV133 @ (45,44)
  Event 134: EV134 @ (48,44)
  Event 135: EV135 @ (49,44)
  Event 136: EV136 @ (51,43)
  Event 137: EV137 @ (54,44)
  Event 138: EV138 @ (55,43)
  Event 139: EV139 @ (59,37)
  Event 140: EV140 @ (64,40)
  Event 141: EV141 @ (66,42)
  Event 142: EV142 @ (70,48)
  Event 143: EV143 @ (76,54)
  Event 144: EV144 @ (79,55)
  Event 145: EV145 @ (84,55)
  Event 146: EV146 @ (88,56)
  Event 147: EV147 @ (90,59)
  Event 148: EV148 @ (93,55)
  Event 149: EV149 @ (98,57)
  Event 150: EV150 @ (97,57)
  Event 151: EV151 @ (65,55)
  Event 152: EV152 @ (64,55)
  Event 153: EV153 @ (62,54)
  Event 154: EV154 @ (61,52)
  Event 155: EV155 @ (59,53)
  Event 156: EV156 @ (58,54)
  Event 157: EV157 @ (57,54)
  Event 158: EV158 @ (47,44)
  Event 159: EV159 @ (50,43)
  Event 160: EV160 @ (56,43)
  Event 161: EV161 @ (61,36)
  Event 162: EV162 @ (71,52)
  Event 163: EV163 @ (44,45)
  Event 164: EV164 @ (40,45)
  Event 165: EV165 @ (9,35)
  Event 166: EV166 @ (11,29)
  Event 167: EV167 @ (46,19)
  Event 168: EV168 @ (47,19)
  Event 169: EV169 @ (44,17)
  Event 170: EV170 @ (51,18)
  Event 171: EV171 @ (59,24)
  Event 172: EV172 @ (60,24)
  Event 173: EV173 @ (64,21)
  Event 174: EV174 @ (65,21)
  Event 175: EV175 @ (58,22)
  Event 176: EV176 @ (56,25)
  Event 177: EV177 @ (43,17)
  Event 178: EV178 @ (48,19)
  Event 179: EV179 @ (57,22)
  Event 180: EV180 @ (56,22)
  Event 181: EV181 @ (61,24)
  Event 182: EV182 @ (62,21)
  Event 183: EV183 @ (63,21)
  Event 184: EV184 @ (61,21)
  Event 185: EV185 @ (76,29)
  Event 186: EV186 @ (75,29)
  Event 187: EV187 @ (74,29)
  Event 188: EV188 @ (80,28)
  Event 189: EV189 @ (82,28)
  Event 190: EV190 @ (83,28)
  Event 191: EV191 @ (86,26)
  Event 192: EV192 @ (73,29)
  Event 193: EV193 @ (81,29)
  Event 194: EV194 @ (77,30)
  Event 195: EV195 @ (84,28)
  Event 196: EV196 @ (85,28)
  Event 197: EV197 @ (64,65)
  Event 198: EV198 @ (65,65)
  Event 199: EV199 @ (69,64)
  Event 200: EV200 @ (70,64)
  Event 201: EV201 @ (61,64)
  Event 202: EV202 @ (56,54)
  Event 203: EV203 @ (55,54)
  Event 204: EV204 @ (63,54)
  Event 205: EV205 @ (60,53)
  Event 206: EV206 @ (54,54)
  Event 207: EV207 @ (67,43)
  Event 208: EV208 @ (81,55)
  Event 209: EV209 @ (78,55)
  Event 210: EV210 @ (86,58)
  Event 211: EV211 @ (85,63)
  Event 212: EV212 @ (84,63)
  Event 213: EV213 @ (81,66)
  Event 214: EV214 @ (80,66)
  Event 215: EV215 @ (77,64)
  Event 216: EV216 @ (91,60)
  Event 217: EV217 @ (94,55)
  Event 218: EV218 @ (69,54)
  Event 219: EV219 @ (53,53)
  Event 220: EV220 @ (52,53)
  Event 221: EV221 @ (51,53)
  Event 222: EV222 @ (48,52)
  Event 223: EV223 @ (47,52)
  Event 224: EV224 @ (45,52)
  Event 225: EV225 @ (32,47)
  Event 226: EV226 @ (37,45)
  Event 227: EV227 @ (34,48)
  Event 228: EV228 @ (34,46)
  Event 229: EV229 @ (31,49)
  Event 230: EV230 @ (20,44)
  Event 231: EV231 @ (25,48)
  Event 232: EV232 @ (19,50)
  Event 233: EV233 @ (27,47)
  Event 234: EV234 @ (12,42)
  Event 235: EV235 @ (13,32)
  Event 236: EV236 @ (15,25)
  Event 237: EV237 @ (5,34)
  Event 238: EV238 @ (18,21)
  Event 239: EV239 @ (24,21)
  Event 240: EV240 @ (34,20)
  Event 241: EV241 @ (41,19)
  Event 242: EV242 @ (53,23)
  Event 243: EV243 @ (58,26)
  Event 244: EV244 @ (62,29)
  Event 245: EV245 @ (72,21)
  Event 246: EV246 @ (79,19)
  Event 247: EV247 @ (50,45)
  Event 248: EV248 @ (59,39)
  Event 249: EV249 @ (68,46)
  Event 250: EV250 @ (72,54)
  Event 251: EV251 @ (59,55)
  Event 252: EV252 @ (93,58)
  Event 253: EV253 @ (84,66)
  Event 254: EV254 @ (62,66)
  Event 255: EV255 @ (40,21)
  Event 256: EV256 @ (30,18)
  Event 257: EV257 @ (14,27)
  Event 258: EV258 @ (10,40)
  Event 259: EV259 @ (86,29)
  Event 260: EV260 @ (65,23)
  Event 261: EV261 @ (22,45)
  Event 262: EV262 @ (40,46)
  Event 263: EV263 @ (36,47)
  Event 264: EV264 @ (16,48)
  Event 265: EV265 @ (26,51)
  Event 266: EV266 @ (46,46)
  Event 267: EV267 @ (39,48)
  Event 268: EV268 @ (35,45)
  Event 269: EV269 @ (41,21)
  Event 270: EV270 @ (70,21)
  Event 271: EV271 @ (83,21)
  Event 272: EV272 @ (15,23)
  Event 273: EV273 @ (9,40)
  Event 274: EV274 @ (48,48)
  Event 275: EV275 @ (61,41)
  Event 276: EV276 @ (94,35)
  Event 277: EV277 @ (100,58)
  Event 278: EV278 @ (94,66)
  Event 279: EV279 @ (74,58)
  Event 280: EV280 @ (69,68)
  Event 281: EV281 @ (12,32)
  Event 282: EV282 @ (46,21)
  Event 283: EV283 @ (54,23)
  Event 284: EV284 @ (35,21)
  Event 285: EV285 @ (23,20)
  Event 286: EV286 @ (13,25)
  Event 287: EV287 @ (11,34)
  Event 288: EV288 @ (61,28)
  Event 289: EV289 @ (68,22)
  Event 290: EV290 @ (88,26)
  Event 291: EV291 @ (90,33)
  Event 292: EV292 @ (102,34)
  Event 293: EV293 @ (89,61)
  Event 294: EV294 @ (83,56)
  Event 295: EV295 @ (102,56)
  Event 296: EV296 @ (70,66)
  Event 297: EV297 @ (51,55)
  Event 298: EV298 @ (8,37)
  Event 299: EV299 @ (28,19)
  Event 300: EV300 @ (52,46)
  Event 301: EV301 @ (42,47)
  Event 302: decorative bell @ (16,39)
  Event 303: EV303 @ (12,30)
  Event 304: EV304 @ (33,22)
  Event 305: EV305 @ (38,20)
  Event 306: EV306 @ (14,44)
  Event 307: EV307 @ (11,38)
  Event 308: EV308 @ (12,39)
  Event 309: EV309 @ (13,41)
  Event 310: EV310 @ (14,42)
  Event 311: EV311 @ (15,43)
  Event 312: farmer @ (66,57)
    Page0: trigger=0  <face The light from these lanterns will have to do for now.> | <face I'm starting to see some very small sprouts.> | <face It will probably take some time for these to bear fruit...>
  Event 313: fireflies @ (62,58)
  Event 314: EV314 @ (62,60)
  Event 315: ram @ (70,52)
    Page0: trigger=0  <face @niko_speak Apparently this moss tastes like fish!> | <face @niko_eyeclosed That's... actually kinda weird.> | <face @niko I suppose I could just eat one, but...> | <face @niko_speak You know what they say about curiosity and the cat!> | <face @niko_eyeclosed Not that I'm a cat...> | <face @niko This ram is chewing on a ball of moss.> | <face @alula_speak Moss is tasty!> | <face @niko_speak Oh? \.\.\@niko What do they taste like?> | <face @alula Fish!> | <face @niko_speak Seriously?> | <face @alula_pout Oh, but you have to pick out the darker ones to eat.> | <face @alula_speak Wouldn't wanna eat the glowy stuff!> | <face @alula That'd be silly.> | <face @alula_pout And wasteful!> | <face @niko This ram is chewing on a ball of moss.> | <face @niko ...> | <face @niko_speak Now I'm curious!> | <face @niko_speak What do you think they taste like, \p?> | <face @niko ...> | <face @niko_eyeclosed The moss, not the ram...>
  Event 316: jar @ (28,33)
    Page0: trigger=0  <face @niko An empty jar.>
  Event 317: jar @ (24,40)
    Page0: trigger=0  <face @niko This jar is full of milk.> | <face @niko_speak Milk makes you grow taller!> | <face @niko That's what mama always says.>
  Event 318: jar @ (19,32)
    Page0: trigger=0  <face @niko This jar is full of dry beans.>
  Event 319: jar @ (37,33)
    Page0: trigger=0  <face @niko Two jars.>
  Event 320: jar @ (40,35)
    Page0: trigger=0  <face @niko I don't know what's in this jar, but it smells kinda like pickles!> | <face @alula_speak I like pickles!> | <face @niko_eyeclosed I don't!>
  Event 321: jar @ (35,33)
    Page0: trigger=0  <face @niko An empty jar.>
  Event 322: jar @ (28,27)
    Page0: trigger=0  <face @niko These jars are filled with water.>
  Event 323: jar @ (26,27)
    Page0: trigger=0  <face @niko This jar smells like alcohol.> | <face @niko_speak ...gross!> | <face @niko I wonder why grown-ups like to drink this stuff?> | <face @niko Alcohol is for setting things on fire.> | <face @alula What's a fire?> | <face @niko_eyeclosed We have much to discuss.>
  Event 324: jar @ (21,27)
    Page0: trigger=0  <face @niko This jar is full of milk.> | <face @niko It smells nice!>
  Event 325: jar @ (50,38)
    Page0: trigger=0  <face @alula_gasp Gaaaaaaaasp!> | <face @niko_speak There's peas in there!> | <face @niko_speak There's peas in there!>
  Event 326: jar @ (44,36)
    Page0: trigger=0  <face @niko Some jars filled with grains.>
  Event 327: jar @ (41,43)
    Page0: trigger=0  <face @niko There's water in this jar.>
  Event 328: jar @ (33,40)
    Page0: trigger=0  <face @niko A jar full of small rocks.>
  Event 329: fireflies @ (61,63)
  Event 330: EV330 @ (61,65)
  Event 331: fireflies @ (61,60)
  Event 332: EV332 @ (61,62)
  Event 333: fireflies @ (63,63)
  Event 334: fireflies @ (65,64)
  Event 335: fireflies @ (67,64)
  Event 336: fireflies @ (69,63)
  Event 337: fireflies @ (71,63)
  Event 338: EV338 @ (63,65)
  Event 339: EV339 @ (65,66)
  Event 340: EV340 @ (67,66)
  Event 341: EV341 @ (69,65)
  Event 342: EV342 @ (71,65)
  Event 343: fireflies @ (71,60)
  Event 344: fireflies @ (70,58)
  Event 345: EV345 @ (71,62)
  Event 346: EV346 @ (70,60)
  Event 347: stew @ (68,60)
  Event 348: stew @ (69,61)
  Event 349: stew @ (66,61)
  Event 350: stew @ (64,61)
  Event 351: stew @ (63,59)
  Event 352: fireflies @ (78,22)
  Event 353: EV353 @ (78,24)
  Event 354: EV354 @ (74,24)
  Event 355: fireflies @ (74,22)
  Event 356: EV356 @ (83,25)
  Event 357: fireflies @ (83,23)
  Event 358: fireflies @ (84,37)
    Page0: trigger=0  <face @niko It's a firefly jar.>
  Event 359: EV359 @ (84,39)
