Map 67: burial grounds  (120x100, tileset=4)
  Event 79: EV079 @ (64,46)
  Event 80: EV080 @ (62,61)
  Event 81: EV081 @ (68,43)
  Event 82: EV082 @ (65,61)
  Event 83: EV083 @ (67,62)
  Event 84: EV084 @ (68,62)
  Event 85: EV085 @ (72,63)
  Event 86: EV086 @ (76,63)
  Event 87: EV087 @ (82,61)
  Event 88: EV088 @ (31,49)
  Event 89: EV089 @ (41,42)
  Event 90: EV090 @ (46,41)
  Event 91: EV091 @ (30,48)
  Event 92: EV092 @ (37,61)
  Event 93: EV093 @ (22,45)
  Event 94: EV094 @ (23,46)
  Event 95: EV095 @ (36,61)
  Event 96: EV096 @ (35,61)
  Event 97: EV097 @ (44,60)
  Event 98: EV098 @ (53,48)
  Event 99: EV099 @ (57,48)
  Event 100: EV100 @ (63,61)
  Event 101: EV101 @ (81,61)
  Event 102: EV102 @ (71,63)
  Event 103: EV103 @ (73,63)
  Event 104: EV104 @ (59,62)
  Event 105: EV105 @ (57,62)
  Event 106: EV106 @ (51,61)
  Event 107: EV107 @ (48,60)
  Event 108: EV108 @ (41,60)
  Event 109: EV109 @ (31,59)
  Event 110: EV110 @ (38,49)
  Event 111: EV111 @ (28,48)
  Event 112: EV112 @ (24,47)
  Event 113: EV113 @ (50,41)
  Event 114: EV114 @ (45,41)
  Event 115: EV115 @ (44,41)
  Event 116: EV116 @ (53,62)
  Event 117: EV117 @ (50,61)
  Event 118: EV118 @ (45,60)
  Event 119: EV119 @ (66,62)
  Event 120: EV120 @ (79,62)
  Event 121: EV121 @ (54,48)
  Event 122: EV122 @ (52,48)
  Event 123: EV123 @ (33,50)
  Event 124: EV124 @ (32,50)
  Event 125: EV125 @ (36,50)
  Event 126: fire action @ (76,57)
    Page0: trigger=0  <face @niko It's a fire.>
  Event 127: EV127 @ (40,61)
  Event 128: init @ (68,42)
  Event 129: cedric npc @ (73,57)
    Page1: trigger=3  <face @cedric_talk It's you!> | <face @niko !> | <face @cedric_smile You are Niko, right?> | <face @niko_speak Mhm!> | <face @cedric_hmm You... um...> | <face @niko My name is Niko...> | <face @cedric_smile Ah!> | <face @cedric_smile N-\.\.nice finally to meet you! \@cedric_hmm \>...no, wait.> | <face @cedric_sigh It is a pleasure to be of acquaintance at last, Niko.> | <face @cedric_smile My name is Cedric.> | <face @niko2 Oh!> | <face @niko I'm supposed to be looking for you too!> | <face @cedric I am aware.> | <face @cedric_hmm Prototype had contacted me earlier, saying that you would be on your way to the city.> | <face @niko_speak He did?> | <face @cedric He sent me a message after his memories were restored.> | <face @niko Oh...> | <face @cedric_hmm He told me to wait in the city, but I thought it'd be faster for me to pick you guys up.> | <face @cedric_sigh ...Turns out, that was a terrible idea.> | <face @niko2 Pick... us up?> | <face @niko_pancakes ...wait... YOU can fly that plane??> | <face @cedric_hmm What...\.\.is a plane?> | <face @niko_speak That thing behind you!> | <face @cedric_talk Oh! You mean the flying machine?> | <face @niko_speak They're called planes in my world!> | <face @cedric_hmm Oh...> | <face @cedric_sigh ...I did not realize they existed in other worlds...> | <face @niko_speak ...wait! Are you the friend that Calamus and Alula was talking about, then?> | <face @niko_speak Is this the same flying machine they were talking about?> | <face @cedric I do not know anyone named Calamus or Alula.> | <face @cedric_talk I think... they're meant to be friends with my father. \>\n\@cedric_hmm ...in previous iterations of the...> | <face @niko2 ...your father?> | <face @cedric_talk He was the original owner of the flying machine... \>\n\@cedric_hmm ...it's... one of his greatest inventions, actually.> | <face @niko_pancakes YOUR DAD INVENTED PLANES???> | <face @cedric_hmm ...flying machine.> | <face @niko_pancakes IT'S COOL EITHER WAY!!> | <face @cedric_smile Thanks?> | <face @cedric_talk But to answer your earlier question... I am proficient in operating the machine.> | <face @cedric_hmm ...but...something weird happened to the engine when I was in the air earlier...> | <face @cedric_sigh I had to make an emergency landing on this tiny island before I crashed into the city wall.> | <face @niko3 You almost crashed? \>\n\@niko4 That's terrible!> | <face @cedric_sigh It was not pleasant, I will admit.\n\>> | <face @cedric_hmm I wonder if the engine problem has to do with the square particle disruptions...> | <face @cedric I checked, but... there isn't any of that square stuff inside the machine itself.> | <face @cedric_hmm ...but I noticed some islands in the Glen are REALLY messed up now.> | <face @niko_eyeclosed They are...> | <face @cedric_sigh Sigh. \>\nGuess I should have listened to Proto in the first place.> | <face @cedric_hmm ...say, where is he?> | <face @cedric_talk He said he was coming with you...> | <face @cedric Is he still back at the main islands?> | <face @niko3 Oh... actually...> | <face @niko4 ...back at the Barrens, he...> | <face @niko_upset There was a cave-in...\.\. and then a bunch of squares...> | <face @niko_upset2 ...he...\.\. and the robot lady...> | <face @niko_distressed_talk ...neither of them made it out.> | <face @cedric_eek ...> | <face @cedric_eek No....> | <face @niko_distressed ...> | <face @niko_distressed2 He...\.\. did give me this, though.> | <face @niko3 This disk he pulled from his head...> | <face @cedric_talk Oh!!!> | <face @cedric_sigh2 Oh thank goodness.> | <face @cedric_talk He gave you his main drive!> | <face @cedric_hmm As long as I have this, I should be able to bring him back.> | <face @niko2 R-really?> | <face @cedric_sigh It's gonna be hard, but yes.> | <face @cedric You need all three of us for the big door.> | <face @niko2 The...?> | <face @cedric_hmm But first thing's first, we need to find a way to go to the city.> | <face @niko_eyeclosed Right...\>\nThe city gate is kind of kaput now.> | <face @cedric2 If this machine was working, we could just fly right in there...> | <face @cedric_hmm I've isolated the issue with the machine, but I can't repair it with the stuff I have on hand.> | <face @niko_speak Oh? What's wrong with it?> | <face @cedric The \c[2]battery\c[0] in the engine is dead, and the engine has some \c[2]gears\c[0] that need to be replaced.> | <face @niko ...\>\nDo you think you'll be able to fix it if \p and I help you find those things?> | <face @cedric_hmm ...maybe.> | <face @cedric_sigh Problem is... the Glen isn't exactly a very high-tech area.> | <face @cedric_sigh ...I'm not sure if you'll be able to find anything so specialized here.> | <face @niko_speak We'll try anyway!> | <face @niko_eyeclosed We can't really do anything else right now...>
    Page2: trigger=0  <face @niko2 We found a battery...> | <face @cedric_talk Oh, nice!> | <face @cedric3 I honestly wasn't expecting it...> | <face @niko It's from the generator on one of the islands.> | <face @cedric_talk The research station?> | <face @niko2 Yeah.> | <face @niko_speak It was powering all the robots there...\>\n\@niko_eyeclosed I felt bad for taking it...> | <face @cedric_hmm Ah...> | <face @cedric_smile ...we can always just give it back later.> | <face @niko_eyeclosed Alright...> | <face @cedric_hmm We still need a few \c[2]gears\c[0] to put this engine back together.\>\nPlease do what you must to find some.> | <face @niko2 We found a battery...> | <face @cedric_talk Oh, nice!> | <face @cedric3 I honestly wasn't expecting it...> | <face @niko We found this one in the Barrens.\>\nIt wasn't working at first, but \p and I managed to fix it!> | <face @cedric_hmm Ah...> | <face @cedric_smile ...it's good that you thought to bring it with you then.> | <face @niko_speak Yup!> | <face @cedric_hmm We still need a few \c[2]gears\c[0] to put this engine back together.\>\nPlease do what you must to find some.> | <face @niko_speak We found a music box!> | <face @niko It... should have gears in it, right?> | <face @cedric I assume so, but...\>\n...> | <face @cedric_hmm This looks like one of the ones that my father made.> | <face @niko_pancakes YOUR DAD MAKES MUSIC BOXES TOO?> | <face @cedric_smile My dad makes a lot of things!> | <face @cedric_hmm Where did you get this from, by the way?> | <face @niko_speak A trader from the village gave it to me!> | <face @cedric I see.\>\nI remember father saying that he used to trade with some of the people here.> | <face @cedric_smile He did always love traveling this world, despite...> | <face @cedric_hmm ...well.> | <face @cedric_sigh Ah, sorry, I started rambling.> | <face @cedric_talk The gears in there are compatible with the engine.> | <face @cedric_sigh Although it pains me to have to take it apart...> | <face @niko2 Oh...\.\. I'm sorry!> | <face @cedric_hmm It's fine...> | <face @cedric We still need a \c[3]battery\c[0] to get this engine running.\>\nPlease do what you must to find one.> | <face @niko_eyeclosed Sorry... I forgot...> | <face @niko What parts do we need to find again?> | <face @cedric We still need a \c[3]battery\c[0] to get this engine running.> | <face @cedric_hmm We still need a few \c[2]gears\c[0] to put this engine back together.> | <face @cedric_hmm A \c[2]battery\c[0] for the engine, and a few \c[2]gears\c[0] to replace the broken ones.> | <face @cedric If you could find me the parts I need, I should be able to get this machine off the ground again.>
  Event 130: EV130 @ (3,34)
  Event 131: EV131 @ (15,43)
  Event 132: EV132 @ (16,34)
    Page1: trigger=1  <face @niko We made it!> | <face @calamus C'mon, Alula.\>\nLet's go pay our respects...> | <face @alula Okay!>
  Event 133: boat @ (15,34)
  Event 134: calamus @ (46,39)
    Page0: trigger=0  <face @calamus_smile2 At least I still got my sister...> | <face @calamus_sad This is her grave...> | <face @niko3 Ah...> | <face @calamus_sad It's been years, but...> | <face @calamus_sad ...It's still... \.\.hard, y'know?> | <face @niko4 ...> | <face @calamus_sad Sigh...> | <face @calamus_sad Alula....\.\.\n\@calamus_smile wanna help me look for some flowers for mom later?> | <face @alula_gasp \.\.Y\.E\.S> | <face @calamus_smile2 ...>
    Page1: trigger=0  <face @calamus We're just about done here, so let us know when you want to go back to the ruins.> | <face @niko Okay.> | <face @niko Hey, do you know where I could find a battery?> | <face @calamus Good question..> | <face @calamus_heh We...\.\. don't really use electricity in the Glen.> | <face @niko_eyeclosed Ah.> | <face @calamus_speak Oh, but there are robots at the research station!\>\nIf there's a battery anywhere, they'd know where it is.> | <face @niko Gotcha, thanks!>
  Event 135: alula @ (48,39)
    Page0: trigger=0  <face @alula_speak I hope she can see us wherever she is!> | <face @alula_gasp MOM YOU'RE NOT GONNA BELIEVE WHAT HAPPENED TODAY WE MET THE MESSIAH AND> | <face @alula_oh ...> | <face @alula_speak ...hi Niko!> | <face @niko_speak Hi!>
    Page1: trigger=0  <face @alula Didja find any...\@alula_pout ...any...> | <face @alula_oh ...what were you looking for again?> | <face @niko_speak Gears?> | <face @alula_speak Gears!\>\n\@alula Didja find any of those?> | <face @niko No, but... I found this music box though!> | <face @alula_gasp Ooooh!> | <face @niko Do you know where I could find some gears?> | <face @alula Gears?\>\nWhat's... that?> | <face @niko_speak It's like...\.\. A metal circle thing with teeth!> | <face @alula_speak A circle... with teeth?!> | <face @alula_speak Haha, that sounds so silly!\>\nLike something Magpie would have!> | <face @niko Magpie?> | <face @alula Y'know, the trader guy!> | <face @alula He collects all kinds of funny stuff!> | <face @alula_speak I mean, he even keeps around broken glass and junk!> | <face @niko ...> | <face @niko_speak ...Oh yeah!\>\n\@niko I think I know who you're talking about.> | <face @alula_speak He's such a weirdo!>
  Event 136: EV136 @ (39,36)
  Event 137: EV137 @ (47,36)
  Event 138: EV138 @ (53,35)
  Event 139: EV139 @ (51,32)
  Event 140: EV140 @ (45,33)
  Event 141: EV141 @ (44,31)
  Event 142: EV142 @ (49,30)
  Event 143: EV143 @ (53,29)
  Event 144: EV144 @ (47,27)
  Event 145: EV145 @ (41,26)
  Event 146: EV146 @ (39,29)
  Event 147: EV147 @ (40,32)
  Event 148: EV148 @ (38,33)
  Event 149: EV149 @ (34,34)
  Event 150: EV150 @ (34,28)
  Event 151: EV151 @ (37,25)
  Event 152: EV152 @ (31,30)
  Event 153: EV153 @ (23,30)
  Event 154: EV154 @ (28,35)
  Event 155: EV155 @ (23,39)
  Event 156: EV156 @ (30,40)
  Event 157: EV157 @ (23,44)
  Event 158: EV158 @ (33,46)
  Event 159: EV159 @ (40,48)
  Event 160: EV160 @ (43,45)
  Event 161: EV161 @ (47,43)
  Event 162: EV162 @ (55,43)
  Event 163: EV163 @ (60,42)
  Event 164: EV164 @ (60,50)
  Event 165: EV165 @ (52,52)
  Event 166: EV166 @ (42,58)
  Event 167: EV167 @ (37,52)
  Event 168: EV168 @ (33,53)
  Event 169: EV169 @ (32,58)
  Event 170: EV170 @ (34,60)
  Event 171: EV171 @ (39,50)
  Event 172: EV172 @ (20,42)
  Event 173: EV173 @ (19,40)
  Event 174: EV174 @ (54,39)
  Event 175: EV175 @ (56,37)
  Event 176: EV176 @ (55,38)
  Event 177: EV177 @ (52,40)
  Event 178: EV178 @ (51,41)
  Event 179: EV179 @ (40,42)
  Event 180: EV180 @ (34,36)
  Event 181: EV181 @ (32,34)
  Event 182: EV182 @ (30,33)
  Event 183: EV183 @ (33,35)
  Event 184: EV184 @ (37,39)
  Event 185: EV185 @ (39,41)
  Event 186: EV186 @ (35,36)
  Event 187: FAST TRAVEL @ (21,34)
  Event 188: EV188 @ (74,54)
    Page0: trigger=3  <face @cedric_smile Looks like the flying machine has a chance after all!> | <face @cedric I just have to assemble the pieces now, but it might take a while...> | <face @cedric_smile Do you mind keeping me company?> | <face @niko How's it going?> | <face @cedric Slow...> | <face @cedric_hmm The connectors in the battery were not designed for this type of engine, so I have to shift around some of these ports.> | <face @cedric_sigh ...and there's this bolt that keeps getting stuck, and...> | <face @niko_eyeclosed ...ah.> | <face @cedric_smile ...don't worry! I am making decent progress!> | <face @cedric We should be able to make it to the city by tonight.> | <face @niko_eyeclosed If you say so...> | <face @niko4 ...> | <face @niko3 ...what...\.\. will happen once we get there?> | <face @cedric_hmm We need to bring Proto back first.> | <face @cedric_talk And then we need to go find one more person.> | <face @cedric You may have already met her, actually...> | <face @cedric_talk Do you remember her from the last time you were in this world?> | <face @niko I...> | <face @niko3 ...what does she...\> look like?> | <face @cedric2 This is going to sound strange, but...> | <face @cedric_talk She is a fox.> | <face @niko_speak ...Rue?> | <face @cedric_talk You've met?> | <face @niko_eyeclosed I... think so...> | <face @niko_eyeclosed The memories are still really blurry, though...> | <face @niko2 ...oh...> | <face @niko_eyeclosed I.... DO remember talking to a fox at one point...> | <face @cedric_talk You've met Rue?> | <face @niko_eyeclosed The memories are still really blurry, though...> | <face @cedric_sigh I see...> | <face @niko2 Oh, um...> | <face @niko_eyeclosed I... don't think I know what you're talking about.> | <face @cedric_sigh Worth a shot.> | <face @cedric_hmm Rue can be... elusive.> | <face @cedric_talk Even if she IS the least hidden one of us...> | <face @niko_eyeclosed My memories are still really blurry, though...> | <face @cedric_sigh I see...> | <face @niko_upset ....sigh.> | <face @niko_distressed2 It's just... hard... y'know?> | <face @niko_eyeclosed Proto told me to think of this world like a dream.> | <face @niko_distressed2 But then I get so caught up with...> | <face @niko_distressed And I just...\.\.kinda... \> forget...> | <face @niko_distressed2 I forget that everything here is supposed to be...\.\.not real...> | <face @niko_distressed ...and then... I remember.> | <face @niko_eyeclosed ...and then I just get really sad...> | <face @niko_upset2 ...I know this is for me to go home, but...> | <face @niko_upset Knowing that none of it mattered in the first place...> | <face @niko_eyeclosed ...am I just\.\. trapped here for no reason...?> | <face @cedric2 ...> | <face @niko_eyeclosed Proto also told me to not ask anyone in the world about this...> | <face @niko_distressed2 Saying how "they don't understand"...> | <face @niko_distressed But... what about him?> | <face @niko_distressed2 How did HE know....?> | <face @cedric ...> | <face @niko3 ...How do YOU know?> | <face @niko_eyeclosed Aren't you guys ALL supposed to be code?> | <face @cedric_hmm ...well...> | <face @niko_eyeclosed I'm not sure what to even believe anymore...> | <face @cedric_sigh ...> | <face @cedric_sigh I wish Rue was here...> | <face @cedric3 She's SO much better at explaining this sort of thing.> | <face @cedric_sigh I'm doing a terrible job of it!> | <face @cedric_sigh2 I bet Proto was even less tactful, wasn't he...> | <face @cedric_sigh I'm afraid I must risk sounding callous, but...> | <face @cedric2 ...please, you need not concern yourself with how "real" everything is, for now.> | <face @cedric_talk The plan is already in motion, we cannot allow for distractions.> | <face @cedric_hmm Father is putting everything into this one last run of the world.> | <face @cedric_sigh The last chance for him to fix everything.> | <face @niko2 Your father... is involved in the World Machine?> | <face @cedric3 You... \.\.could say that.> | <face @cedric_sigh The acceleration of square particle anomalies was not accounted for at all, though.> | <face @cedric The patch was only built to accomodate the normal rate they appear, but...> | <face @cedric_sigh2 ...they're accumulating at frightening speeds, now.> | <face @cedric_sigh Proto even lost his body...> | <face @cedric2 Thankfully, he gave you the disk just in time.> | <face @niko3 So... what happened to him anyway?> | <face @niko3 What happens  to...\.\. ANYONE who gets caught in the squares?> | <face @niko_eyeclosed I only know it's bad...> | <face @cedric_hmm Well, you know how the simulation works, right?> | <face @niko_upset2 How everything...\.\.is code....?> | <face @cedric Specifically, everything is generated from pre-existing code.> | <face @cedric The squares can cause damage to that code...> | <face @cedric_sigh ...most of the time, irreversible damage.> | <face @cedric_sigh Father has lost some friends in previous iterations of the simulation.> | <face @cedric3 It took him forever to develop the current, much more stable version.> | <face @niko4 ...you're making it sound like...\.\. your dad built the simulation himself...> | <face @niko3 ...wait, DID he?> | <face @cedric_sigh Yeah...> | <face @niko4 But... how?> | <face @niko_what If everyone in this world is code...> | <face @niko2 ...how can he build...\.\.\@niko_what himself...?> | <face @cedric2 That's...\.\.um...\>\n\@cedric_sigh not really what happened.> | <face @niko3 So... what happened?> | <face @cedric_sigh2 ...like I said, you shouldn't concern yourself with...> | <face @niko_distressed ...> | <face @cedric4 ...with> | <face @niko_distressed .....> | <face @cedric_sigh ...alright, alright....> | <face @cedric3 Did Prototype....\.\. ever tell you about the old world?> | <face @niko4 ...> | <face @niko3 He... DID say something about being built to greet the messiah of the old world.> | <face @niko_eyeclosed I was um...\.\. too caught up with the other stuff at the time to think about it...> | <face @cedric2 Ah, you know OF it at least, then.> | <face @cedric_sigh Alright... here we go.> | <face @cedric My father... myself... the other two...> | <face @cedric3 None of us are part of the simulation itself.> | <face @cedric_sigh Our home world....\>the "real" world... \.\.was actually destroyed a long time ago.> | <face @niko_shock ...> | <face @cedric In the years leading up to the calamity, scientists from all over the world tried to stop it, but the outlook was bleak.> | <face @cedric A vague prophecy about a messiah from another world became everyone's last bastion of hope.> | <face @cedric3 Prophetbot....\.\.er, Prototype... \.\.was built to predict the future, about the specifics of this messiah.> | <face @cedric_sigh2 But as his predictions turned out, the messiah would not have been able to arrive to our world in time.> | <face @cedric4 In fact, the messiah would not even have been born before our world ended.> | <face @niko3 ...> | <face @cedric Disheartened, most people abandoned their research and resolved to peacefully live out their final years.> | <face @cedric3 But... some people did the opposite.> | <face @cedric_sigh Even though saving the world was impossible, they didn't want our existence to be in vain.> | <face @cedric2 And that's...\.\. where my father came in.> | <face @cedric_talk With the last of his resources...\>\nhe built his most ambitious project yet.> | <face @cedric ..."The World Machine".> | <face @cedric2 A large, detailed facsimile of the old world, generated from a pool of memories collected from everyone he knew.> | <face @cedric4 ...after a heavy amount of modification and an added narrative, my father was able to convert the entire structure into code.> | <face @niko4 ...> | <face @niko3 ...how did that code.... escape the old world?> | <face @cedric_hmm I have no idea.> | <face @cedric What I do know is, there is no equipment back home that was powerful enough to run the code independently.> | <face @cedric So, asides from the standard hardware, it also needed to borrow the mental processing abilities of a living person.> | <face @cedric Father used himself for that, during the initial testing phases.> | <face @cedric2 Like I said, it took many iterations for him to make the experience stable enough.> | <face @cedric_sigh2 ...but as you can see, even that's breaking down.> | <face @niko2 Ah...> | <face @cedric Father caught on to the issue in the last minute, but did not have enough time to fix it.> | <face @cedric4 After the world ended...\.\. the code kinda just ended up...\>\n\@cedric3 floating in the void, indefinitely.> | <face @cedric_sigh ...waiting for a willing operator to install it onto their own hardware.> | <face @niko3 ...\p?> | <face @cedric Yeah.> | <face @cedric The operator... \.\.\p.... \.\.would then generate the universe using the code, becoming god in the process.> | <face @niko So... \p was the living person you needed to borrow?> | <face @cedric3 ....No?> | <face @cedric That.... would be you.> | <face @niko3 But why me?> | <face @niko ....> | <face @niko_eyeclosed (I... should've asked that question a long time ago, shouldn't I...)> | <face @cedric3 I do not know.> | <face @cedric_hmm ...we...\.\. really need to get going.>
    Page1: trigger=3  <face @niko_speak It's a plane!> | <face @cedric2 ...flying machine!> | <face @niko Right.>
    Page2: trigger=0  <face @niko It's a tent.>
  Event 189: cedric fixing @ (79,56)
  Event 190: EV190 @ (67,60)
  Event 191: EV191 @ (67,61)
  Event 192: EV192 @ (66,58)
  Event 193: EV193 @ (66,57)
  Event 194: EV194 @ (67,56)
  Event 195: EV195 @ (67,55)
  Event 196: EV196 @ (68,54)
  Event 197: EV197 @ (84,58)
  Event 198: EV198 @ (66,59)
  Event 199: EV199 @ (84,57)
  Event 200: EV200 @ (83,56)
  Event 201: EV201 @ (78,55)
  Event 202: EV202 @ (76,53)
  Event 203: EV203 @ (77,54)
  Event 204: EV204 @ (80,56)
  Event 205: EV205 @ (81,56)
  Event 206: EV206 @ (82,56)
  Event 207: EV207 @ (72,53)
  Event 208: EV208 @ (77,55)
    Page0: trigger=0  <face @niko Just a wrench.>
  Event 209: EV209 @ (53,50)
  Event 210: EV210 @ (52,50)
  Event 211: EV211 @ (34,51)
  Event 212: EV212 @ (33,51)
  Event 213: EV213 @ (80,58)
    Page0: trigger=0  <face @niko It's a crowbar.>
  Event 214: EV214 @ (78,58)
    Page0: trigger=0  <face @niko_eyeclosed Looks like a piece from this plane.>
  Event 215: tent @ (75,55)
  Event 216: tent @ (74,55)
  Event 217: tent @ (73,54)
  Event 218: EV218 @ (38,50)
  Event 219: EV219 @ (37,50)
  Event 220: EV220 @ (76,59)
