Map 246: squrz  (50x50, tileset=1)
  Event 121: EV121 @ (17,13)
  Event 122: EV122 @ (18,13)
  Event 123: EV123 @ (16,13)
  Event 124: EV124 @ (19,13)
  Event 125: EV125 @ (20,13)
  Event 126: EV126 @ (21,13)
  Event 127: EV127 @ (22,13)
  Event 128: EV128 @ (23,13)
  Event 129: EV129 @ (24,13)
  Event 130: EV130 @ (25,13)
  Event 131: EV131 @ (26,13)
  Event 132: EV132 @ (27,13)
  Event 133: EV133 @ (29,13)
  Event 134: EV134 @ (30,13)
  Event 135: EV135 @ (28,13)
  Event 136: EV136 @ (30,14)
  Event 137: EV137 @ (30,15)
  Event 138: EV138 @ (30,16)
  Event 139: EV139 @ (30,17)
  Event 140: EV140 @ (30,18)
  Event 141: EV141 @ (30,19)
  Event 142: EV142 @ (29,19)
  Event 143: EV143 @ (28,19)
  Event 144: EV144 @ (27,19)
  Event 145: EV145 @ (26,19)
  Event 146: EV146 @ (25,19)
  Event 147: EV147 @ (24,19)
  Event 148: EV148 @ (23,19)
  Event 149: EV149 @ (22,19)
  Event 150: EV150 @ (21,19)
  Event 151: EV151 @ (20,19)
  Event 152: EV152 @ (19,19)
  Event 153: EV153 @ (18,19)
  Event 154: EV154 @ (17,19)
  Event 155: EV155 @ (16,19)
  Event 156: EV156 @ (15,19)
  Event 157: EV157 @ (15,18)
  Event 158: EV158 @ (15,17)
  Event 159: EV159 @ (15,16)
  Event 160: EV160 @ (15,15)
  Event 161: EV161 @ (15,14)
  Event 162: EV162 @ (16,14)
  Event 163: EV163 @ (17,14)
  Event 164: EV164 @ (18,14)
  Event 165: EV165 @ (19,14)
  Event 166: EV166 @ (20,14)
  Event 167: EV167 @ (21,14)
  Event 168: EV168 @ (22,14)
  Event 169: EV169 @ (23,14)
  Event 170: EV170 @ (24,14)
  Event 171: EV171 @ (25,14)
  Event 172: EV172 @ (26,14)
  Event 173: EV173 @ (27,14)
  Event 174: EV174 @ (28,14)
  Event 175: EV175 @ (29,14)
  Event 176: EV176 @ (29,15)
  Event 177: EV177 @ (29,16)
  Event 178: EV178 @ (29,17)
  Event 179: EV179 @ (29,18)
  Event 180: EV180 @ (28,18)
  Event 181: EV181 @ (27,18)
  Event 182: EV182 @ (26,18)
  Event 183: EV183 @ (25,18)
  Event 184: EV184 @ (24,18)
  Event 185: EV185 @ (23,18)
  Event 186: EV186 @ (22,18)
  Event 187: EV187 @ (21,18)
  Event 188: EV188 @ (20,18)
  Event 189: EV189 @ (19,18)
  Event 190: EV190 @ (18,18)
  Event 191: EV191 @ (17,18)
  Event 192: EV192 @ (16,18)
  Event 193: EV193 @ (16,17)
  Event 194: EV194 @ (16,16)
  Event 195: EV195 @ (16,15)
  Event 196: EV196 @ (17,15)
  Event 197: EV197 @ (18,15)
  Event 198: EV198 @ (19,15)
  Event 199: EV199 @ (20,15)
  Event 200: EV200 @ (21,15)
  Event 201: EV201 @ (22,15)
  Event 202: EV202 @ (23,15)
  Event 203: EV203 @ (24,15)
  Event 204: EV204 @ (25,15)
  Event 205: EV205 @ (26,15)
  Event 206: EV206 @ (28,15)
  Event 207: EV207 @ (27,15)
  Event 208: EV208 @ (28,16)
  Event 209: EV209 @ (28,17)
  Event 210: EV210 @ (27,17)
  Event 211: EV211 @ (26,17)
  Event 212: EV212 @ (25,17)
  Event 213: EV213 @ (24,17)
  Event 214: EV214 @ (23,17)
  Event 215: EV215 @ (22,17)
  Event 216: EV216 @ (21,17)
  Event 217: EV217 @ (20,17)
  Event 218: EV218 @ (19,17)
  Event 219: EV219 @ (18,17)
  Event 220: EV220 @ (17,17)
  Event 221: EV221 @ (17,16)
  Event 222: EV222 @ (18,16)
  Event 223: EV223 @ (19,16)
  Event 224: EV224 @ (21,16)
  Event 225: EV225 @ (22,16)
  Event 226: EV226 @ (23,16)
  Event 227: EV227 @ (24,16)
  Event 228: EV228 @ (25,16)
  Event 229: EV229 @ (26,16)
  Event 230: EV230 @ (27,16)
  Event 231: EV231 @ (20,16)
