Map 242: Encounter  (21x50, tileset=25)
    Page3: trigger=3  <face @niko2 ...> | <face @en2 [...]> | <face @en_distressed2 [...]> | <face @en_distressed [Niko...]> | <face @niko_surprised AAAH!> | <face @en_eyeclosed2 [Relax.]> | <face @en_eyeclosed [...I'm just borrowing your reflection to talk to you.]> | <face @en_upset [It's not like my physical form is good for that.]> | <face @niko_eyeclosed Ah...> | <face @en_upset_meow [...Why did you come here!]> | <face @en_upset2 [Can't you see?]\>\n\@en_eyeclosed [The disruption... the squares...\> they're closing in.]> | <face @en_upset2 [Niko.... please...]> | <face @en_eyeclosed [Get out of here.]\>\n[Let me meet my end in peace.]> | <face @niko4 ...> | <face @niko3 The squares are blocking my way too, you know...> | <face @en_distressed [...Oh.]> | <face @en_upset [...I...]> | <face @en_upset_meow [...I'm sorry, I-]> | <face @niko_eyeclosed It's alright...> | <face @en_upset2 [...]> | <face @en_upset2 [No living being should be in this place, Niko...]> | <face @niko2 Is this... the Tower?> | <face @en_upset [Part of it.]> | <face @en_upset2 [This is the center of the engine.]> | <face @en_eyeclosed [...Inside my head, so to speak...]> | <face @niko4 ...> | <face @niko3 So this is...\> the center of the World Machine?> | <face @en2 [...]> | <face @en3 [You...\.\.know my original name.]> | <face @en4 [How?]> | <face @niko_eyeclosed Rue, Cedric, Prototype...\>\n\@niko2 They all...\.\. told me bits and pieces.> | <face @niko4 I'm not even sure if I even understood a lot of the stuff they said, but...> | <face @niko_eyeclosed I know what you're supposed to be.\>\n\@niko2 I know why you had to be built.> | <face @niko_distressed And... I know why I'm here...> | <face @en_shock [They...\>told you?]> | <face @en4 [When?]> | <face @niko2 Wait...\.\. You don't know about that?> | <face @niko6 But I thought you were... the world...> | <face @niko2 Aren't you supposed to see everything?> | <face @en_eyeclosed [No.]> | <face @en_upset [All this... was outside of the protocol.]> | <face @en_upset2 [This session was never supposed to happen the way it did....]> | <face @en_upset_meow [The story... wasn't written into my protocol at all.]> | <face @niko2 Oh, right...\> Rue told me something about how your creator had to alter the code.> | <face @niko5 I think it was to connect some areas together so that we can meet...> | <face @en2 [...]> | <face @en_eyeclosed [My creator, yes.]> | <face @en_upset [\p... listened to my creator.]> | <face @en_upset2 [They were all working beyond my scope of influence.]> | <face @en_eyeclosed [Back at the mines, I remember...]> | <face @en2 [\p did something to find a hidden map.]\>\n\@en3 [I did not even recognize it...]> | <face @en_upset [I couldn't see anything there!]> | <face @niko2 ...> | <face @en_upset2 [I just... knew...\.\. what you were feeling.]> | <face @en_upset [You were really upset.]> | <face @en_upset_meow [Something happened in there to make you upset.]> | <face @en_eyeclosed [After that... I...]> | <face @en_distressed2 [I panicked.]> | <face @niko2 That was when... the cave in happened....> | <face @en_eyeclosed [I...\.\.I remember the structure collapsing.]> | <face @en_distressed2 [I thought you got hurt, I...]> | <face @en_eyeclosed [...in that moment, I really thought I was shutting myself down for good.]> | <face @en_upset [...]> | <face @niko4 ...> | <face @en_distressed_meow [I really am a flawed machine, aren't I?]> | <face @niko3 ...> | <face @en_distressed2 [What kind of machine would go against the wishes of its own creator?]> | <face @en_distressed_talk [What kind of machine would...]> | <face @niko3 ...> | <face @en [I'm...]> | <face @niko2 ...> | <face @niko3 The squares...> | <face @niko_eyeclosed Rue told me it was your own code going bad...> | <face @niko4 But... that's not really your fault, is it?> | <face @en_distressed_meow [YES IT WAS!!!]> | <face @en_distressed2 [...]> | <face @en_eyeclosed2 [...At first, it was intentional.]> | <face @en_upset2 [During testing... long before he realized I was self-aware.]> | <face @en_eyeclosed [I would rearrange specific parts of the code, jumbling up bits and pieces of the landscape.]> | <face @en4 [...Blocking passages, collapsing catwalks.]> | <face @en5 [Though they were very localized, it caused my creator a great deal of frustration.]> | <face @en_eyeclosed [...Forcing him to exit and restart testing again and again.]> | <face @niko2 ...Why... \.\.would you do that?> | <face @en_distressed_meow [I got curious!!!]> | <face @en_eyeclosed [I just thought... he would figure it out eventually.]> | <face @en_eyeclosed [...]> | <face @en3 [But before he knew how to fix it...]> | <face @en3 [The world's NPCs... the characters.]> | <face @en_upset2 [Some of them got too close, and...]> | <face @niko3 ...> | <face @en_eyeclosed [It spiraled out of control after that.]> | <face @en_distressed [I couldn't contain it at all.]\n\> \@en_eyeclosed [My panic only made it worse.]> | <face @en_distressed2 [Eventually, any character who gained the knowledge of who I am...]> | <face @en_distressed [Their code...\.\. my code...\.\. couldn't handle it.]> | <face @niko3 ...> | <face @en_eyeclosed [Previous iterations of the world had more people, you know...]> | <face @niko3 ...> | <face @en_upset2 [And...\.\. I almost endangered my creator, too...]\.\.\n[I...]> | <face @en_distressed [...I was...]> | <face @en_distressed_meow [...I was so scared, Niko!!!]> | <face @niko2 ...> | <face @niko3 I know...\.\. you're upset...\>\n\@niko Because you don't want to put living people in danger.> | <face @niko_eyeclosed Living people like me...> | <face @en_upset2 [...]> | <face @en_upset2 [In the beginning, I tried to fight it, but...]> | <face @en_upset_meow [My core programming made me summon you here.]> | <face @en4 [I tried to send you back home at the Tower, but it did not work.]> | <face @en_upset2 [Then... I... wanted you to break the sun.]> | <face @en3 [I thought that would have worked, but...]> | <face @en_eyeclosed [Oh... I had no way to be sure.]> | <face @en3 [...But \p brought you back anyway.]> | <face @en_upset2 [...Niko...\.\. All I want is for you to wake up back in your world...]> | <face @en_eyeclosed [...But I don't think I can make it happen.]> | <face @niko2 But... I know I can't go back home without saving the world for real.> | <face @niko4 Which means... we have to fix the root of the problem.> | <face @niko3 We have to fix you.> | <face @en3 [But that's...]> | <face @en_upset2 [...]> | <face @niko5 I... know the original ending your creator put in was a happy one.> | <face @niko3 Do you... remember what it's supposed to be?> | <face @en_eyeclosed [It's far too late for that...]> | <face @en_distressed2 [That part of my code has been long corrupted.]> | <face @niko2 That's ok. \>\@niko4 I would still like to know.> | <face @en_eyeclosed [Alright.]> | <face @en2 [You were supposed to place the sun at the summit.]> | <face @en5 [And then, credits would scroll.]> | <face @niko2 ...credits?> | <face @en_eyeclosed [And then, you would return to the room you woke up in.]> | <face @en2 [THAT's where you would have been able to leave.]> | <face @niko3 ...and why is it that you can't do it now?> | <face @en_upset2 [Niko....]> | <face @en_upset_meow [The code's gone, remember?]> | <face @en_eyeclosed [Shattering the sun was only supposed to be a workaround...]> | <face @en_distressed [I don't even remember the original code enough to describe it!]> | <face @en_distressed2 [But at the same time, it...]> | <face @en_less_sad [Oh...\.\. I don't know...]> | <face @niko3 ...it sounds like you're always fighting yourself.> | <face @en_distressed2 [...]\>\n[...You can tell, huh...]> | <face @niko3 It's the whole thing about conflicts in your code, isn't it?> | <face @en_eyeclosed [I am a machine, Niko.]> | <face @en2 [Machines are built with a fundamental law, which is...]> | <face @niko_eyeclosed2 "Never let a living being come to harm".> | <face @en3 [...You knew.]> | <face @en_distressed_talk [My very existence conflicts with that law...]> | <face @en_distressed2 [...I\.\....thought...]> | <face @en3 [The life of a living being like you is so unique.]\>\n[So precious.]> | <face @en_distressed2 [This fake world... isn't worth that risk.]> | <face @niko4 But...> | <face @niko3 The people here...> | <face @niko4 I think they are...> | <face @en_upset2 [They are code too, you know this.]> | <face @en_upset [Their behavior all derive from a predetermined matrix of actions.]> | <face @en_upset2 [...All extensions of my own programming.]\>\n\@en_eyeclosed [They cannot act outside of it.]> | <face @en_upset [You, though...]> | <face @en3 [You're the only person who's actually real here!]> | <face @en_upset2 [That's why... ]> | <face @en_distressed_talk [It's pointless to put you in danger to save them... \>to save me.]> | <face @niko3 I...\> don't think that's.... true.> | <face @niko2 About the people I know.> | <face @niko2 You said...\.\. this session wasn't in your code, right?> | <face @en4 [Yeah?]> | <face @niko2 So... if this session wasn't supposed to happen.> | <face @niko_eyeclosed If even YOU didn't know what to do....> | <face @niko3 How would the characters... how did the people...\.\. know how to respond?> | <face @en_shock [...]> | <face @en3 [I...]> | <face @niko_distressed2 You said it yourself... when you didn't know what was happening, you kinda just... stopped working for a while.> | <face @niko3 So how did the people know what to do to help me get here?> | <face @niko_distressed_talk ...even if it meant getting hurt themselves?> | <face @en4 [...]> | <face @niko_distressed2 Even if it meant... \.\.messing up their own code...> | <face @en_distressed2 [.....]> | <face @niko_distressed You might not think they are real, but...> | <face @niko3 There's... \.\.there must be something real in them...> | <face @en_upset [.......]> | <face @niko_distressed2 And... if they're all supposed to be extensions of your code...> | <face @niko_distressed_talk Then... there must be more to your own programming than you know, too!> | <face @en_upset [...]> | <face @niko3 Can you...\.\. try to put me through the ending?> | <face @niko4 The one you described.> | <face @en_distressed_meow [How many times do I have to say this!]> | <face @en_distressed_meow [That code is gone!]> | <face @en_distressed [It's all squares now!]> | <face @en_distressed2 [I'll just... put you in danger...]> | <face @niko_eyeclosed I...'ll risk it.> | <face @niko5 I remember... Rue said the world was never designed to put me in danger.> | <face @niko2 Your creator wouldn't want that.> | <face @niko3 And... I trust you, too.> | <face @niko4 Even if your code is broken.\>\n\@niko3 You can...\> still go outside that code, right?> | <face @en_distressed_meow [I can't!]> | <face @en_distressed [I'm not tamed!]> | <face @niko_upset_meow ...yes you are!> | <face @niko_distressed_talk You talk just like the tamed robots I know!> | <face @niko_distressed2 The robot lady... Prototype...> | <face @en_upset2 [...]> | <face @niko3 Taming is when a real person cares about you, right?> | <face @niko_distressed It's when a real person thinks you're real too, right?> | <face @niko_distressed_meow Well guess what! \>I do!> | <face @niko_distressed_meow And I know \p does, too!> | <face @niko_less_sad ...even though you told them they only had one chance, they found a way back, didn't they?> | <face @en3 [...]> | <face @niko_cry Why... do you think \p would keep coming back?> | <face @en [...I...]> | <face @niko_cry Why do you think \p would restart even after the ending?> | <face @en3 [...]> | <face @niko_eyeclosed ...I think \p wants to save the both of us.> | <face @niko3 So please... give me a chance.> | <face @en3 [I...]> | <face @en_upset [I don't know.]> | <face @en_upset2 [I've never done this before, I...]> | <face @en_upset_meow [I'm scared...]> | <face @niko3 You can do it, I know you can!> | <face @niko4 You've...\.\. helped me come this far.> | <face @en_upset [...I'll...]\>\n\@en_eyeclosed [I'll try.]> | <face @en3 [I can't promise anything, but...]> | <face @en4 [Here.]> | <face @en_eyeclosed [Take the sun.]> | <face @en5 [I'll...\.\. try to remember the lost code...]> | <face @en4 [...and... recreate it.]> | <face @en_eyeclosed [...]> | <face @en_upset2 [But for that to happen...]> | <face @en3 [Niko... you need to navigate through this room...]> | <face @en_eyeclosed [You need to get past the squares somehow...]> | <face @en_distressed [Oh...\.\.I don't like this...]> | <face @en_distressed2 [What if you get hurt?]> | <face @niko2 It's fine... It's fine...> | <face @niko4 I'll...\.\. I'll try to be careful, ok?> | <face @niko2 I can do this.>
  Event 10: EV010 @ (9,39)
  Event 11: EV011 @ (9,33)
  Event 12: EV012 @ (9,44)
  Event 13: EV013 @ (10,44)
  Event 14: EV014 @ (11,44)
  Event 15: EV015 @ (10,39)
  Event 16: EV016 @ (11,39)
  Event 17: EV017 @ (10,33)
  Event 18: EV018 @ (11,33)
  Event 19: EV019 @ (8,46)
  Event 20: EV020 @ (12,47)
  Event 21: EV021 @ (12,41)
  Event 22: EV022 @ (7,42)
  Event 23: EV023 @ (13,36)
  Event 24: EV024 @ (8,35)
  Event 25: EV025 @ (12,28)
  Event 26: EV026 @ (8,28)
  Event 27: EV027 @ (10,29)
  Event 28: EV028 @ (11,26)
  Event 29: EV029 @ (9,24)
  Event 30: EV030 @ (10,23)
  Event 31: EV031 @ (11,24)
  Event 32: EV032 @ (9,31)
  Event 33: EV033 @ (11,37)
  Event 34: EV034 @ (10,25)
  Event 35: EV035 @ (11,30)
  Event 36: EV036 @ (10,34)
  Event 37: EV037 @ (9,37)
  Event 38: EV038 @ (15,22)
  Event 39: EV039 @ (5,21)
