Map 43: Forest  (104x100, tileset=4)
  Event 79: EV079 @ (28,52)
  Event 80: EV080 @ (26,31)
  Event 81: EV081 @ (25,30)
  Event 82: EV082 @ (26,22)
  Event 83: EV083 @ (25,23)
  Event 84: EV084 @ (24,23)
  Event 85: EV085 @ (20,24)
  Event 86: EV086 @ (14,26)
  Event 87: EV087 @ (10,31)
  Event 88: EV088 @ (10,40)
  Event 89: EV089 @ (11,40)
  Event 90: EV090 @ (8,37)
  Event 91: EV091 @ (29,38)
  Event 92: EV092 @ (28,38)
  Event 93: EV093 @ (30,40)
  Event 94: EV094 @ (30,49)
  Event 95: EV095 @ (35,53)
  Event 96: EV096 @ (36,54)
  Event 97: EV097 @ (41,56)
  Event 98: EV098 @ (40,56)
  Event 99: EV099 @ (43,55)
  Event 100: EV100 @ (44,55)
  Event 101: EV101 @ (48,54)
  Event 102: EV102 @ (27,54)
  Event 103: EV103 @ (57,55)
  Event 104: EV104 @ (56,55)
  Event 105: EV105 @ (60,57)
  Event 106: EV106 @ (55,54)
  Event 107: EV107 @ (54,54)
  Event 108: EV108 @ (53,54)
  Event 109: EV109 @ (59,56)
  Event 110: EV110 @ (61,59)
  Event 111: EV111 @ (60,62)
  Event 112: EV112 @ (59,64)
  Event 113: EV113 @ (53,69)
  Event 114: EV114 @ (50,68)
  Event 115: EV115 @ (59,69)
  Event 116: EV116 @ (78,76)
  Event 117: EV117 @ (76,76)
  Event 118: EV118 @ (83,74)
  Event 119: EV119 @ (83,66)
  Event 120: EV120 @ (86,64)
  Event 121: EV121 @ (84,65)
  Event 122: EV122 @ (85,64)
  Event 123: EV123 @ (82,75)
  Event 124: EV124 @ (77,77)
  Event 125: EV125 @ (67,76)
  Event 126: EV126 @ (68,76)
  Event 127: EV127 @ (66,74)
  Event 128: EV128 @ (64,71)
  Event 129: EV129 @ (63,70)
  Event 130: EV130 @ (60,66)
  Event 131: EV131 @ (61,67)
  Event 132: EV132 @ (56,70)
  Event 133: EV133 @ (54,69)
  Event 134: EV134 @ (52,69)
  Event 135: EV135 @ (47,70)
  Event 136: EV136 @ (43,56)
  Event 137: EV137 @ (41,70)
  Event 138: EV138 @ (38,71)
  Event 139: EV139 @ (37,71)
  Event 140: EV140 @ (34,70)
  Event 141: EV141 @ (33,68)
  Event 142: EV142 @ (32,68)
  Event 143: EV143 @ (29,66)
  Event 144: EV144 @ (44,70)
  Event 145: EV145 @ (42,70)
  Event 146: EV146 @ (43,70)
  Event 147: EV147 @ (30,67)
  Event 148: EV148 @ (28,65)
  Event 149: EV149 @ (27,22)
  Event 150: EV150 @ (23,23)
  Event 151: EV151 @ (18,25)
  Event 152: EV152 @ (17,25)
  Event 153: EV153 @ (22,18)
  Event 154: EV154 @ (21,18)
  Event 155: EV155 @ (26,18)
  Event 156: EV156 @ (31,18)
  Event 157: EV157 @ (32,18)
  Event 158: EV158 @ (25,19)
  Event 159: EV159 @ (23,19)
  Event 160: EV160 @ (18,17)
  Event 161: EV161 @ (20,18)
  Event 162: EV162 @ (33,18)
  Event 163: EV163 @ (36,14)
  Event 164: EV164 @ (37,14)
  Event 165: EV165 @ (43,15)
  Event 166: EV166 @ (42,20)
  Event 167: EV167 @ (52,21)
  Event 168: EV168 @ (51,21)
  Event 169: EV169 @ (57,16)
  Event 170: EV170 @ (59,18)
  Event 171: EV171 @ (64,19)
  Event 172: EV172 @ (45,21)
  Event 173: EV173 @ (45,15)
  Event 174: EV174 @ (67,20)
  Event 175: EV175 @ (66,20)
  Event 176: EV176 @ (68,12)
  Event 177: EV177 @ (69,12)
  Event 178: EV178 @ (64,28)
  Event 179: EV179 @ (68,31)
  Event 180: EV180 @ (72,32)
  Event 181: EV181 @ (73,32)
  Event 182: EV182 @ (65,20)
  Event 183: EV183 @ (68,20)
  Event 184: EV184 @ (69,20)
  Event 185: EV185 @ (63,20)
  Event 186: EV186 @ (62,20)
  Event 187: EV187 @ (60,19)
  Event 188: EV188 @ (58,17)
  Event 189: EV189 @ (53,21)
  Event 190: EV190 @ (54,21)
  Event 191: EV191 @ (52,29)
  Event 192: EV192 @ (51,29)
  Event 193: EV193 @ (55,31)
  Event 194: EV194 @ (58,32)
  Event 195: EV195 @ (76,33)
  Event 196: EV196 @ (62,32)
  Event 197: EV197 @ (60,33)
  Event 198: EV198 @ (83,41)
  Event 199: EV199 @ (44,21)
  Event 200: EV200 @ (43,21)
  Event 201: EV201 @ (34,18)
  Event 202: EV202 @ (38,14)
  Event 203: EV203 @ (30,17)
  Event 204: EV204 @ (44,15)
  Event 205: EV205 @ (47,15)
  Event 206: EV206 @ (21,24)
  Event 207: EV207 @ (22,24)
  Event 208: EV208 @ (16,26)
  Event 209: EV209 @ (19,24)
  Event 210: EV210 @ (15,26)
  Event 211: EV211 @ (35,18)
  Event 212: EV212 @ (41,20)
  Event 213: EV213 @ (61,20)
  Event 214: EV214 @ (77,49)
  Event 215: EV215 @ (78,49)
  Event 216: EV216 @ (46,55)
  Event 217: EV217 @ (42,56)
  Event 218: EV218 @ (37,54)
  Event 219: EV219 @ (34,53)
  Event 220: EV220 @ (29,50)
  Event 221: EV221 @ (38,55)
  Event 222: EV222 @ (39,56)
  Event 223: EV223 @ (52,54)
  Event 224: EV224 @ (49,54)
  Event 225: EV225 @ (58,56)
  Event 226: EV226 @ (55,21)
  Event 227: EV227 @ (53,29)
  Event 228: EV228 @ (56,32)
  Event 229: EV229 @ (57,32)
  Event 230: EV230 @ (59,33)
  Event 231: EV231 @ (46,15)
  Event 232: EV232 @ (42,14)
  Event 233: EV233 @ (12,53)
  Event 234: EV234 @ (13,54)
  Event 235: EV235 @ (20,57)
  Event 236: EV236 @ (19,57)
  Event 237: EV237 @ (25,60)
  Event 238: EV238 @ (23,58)
  Event 239: EV239 @ (11,47)
  Event 240: EV240 @ (12,40)
  Event 241: EV241 @ (9,39)
  Event 242: EV242 @ (7,37)
  Event 243: EV243 @ (12,50)
  Event 244: EV244 @ (15,33)
  Event 245: EV245 @ (58,23)
  Event 246: EV246 @ (59,24)
  Event 247: EV247 @ (57,23)
  Event 248: EV248 @ (52,81)
  Event 249: EV249 @ (46,83)
  Event 250: EV250 @ (86,47)
  Event 251: EV251 @ (87,47)
  Event 252: EV252 @ (88,47)
  Event 253: EV253 @ (89,57)
  Event 254: EV254 @ (90,57)
  Event 255: EV255 @ (89,69)
  Event 256: EV256 @ (88,76)
  Event 257: EV257 @ (86,79)
  Event 258: EV258 @ (81,80)
  Event 259: EV259 @ (92,78)
  Event 260: EV260 @ (91,78)
  Event 261: EV261 @ (86,88)
  Event 262: EV262 @ (80,83)
  Event 263: EV263 @ (79,83)
  Event 264: EV264 @ (78,84)
  Event 265: EV265 @ (72,83)
  Event 266: EV266 @ (71,82)
  Event 267: EV267 @ (70,79)
  Event 268: EV268 @ (54,81)
  Event 269: EV269 @ (53,81)
  Event 270: EV270 @ (51,82)
  Event 271: EV271 @ (50,83)
  Event 272: EV272 @ (47,83)
  Event 273: EV273 @ (45,83)
  Event 274: EV274 @ (44,83)
  Event 275: EV275 @ (41,82)
  Event 276: EV276 @ (39,81)
  Event 277: EV277 @ (26,59)
  Event 278: EV278 @ (24,59)
  Event 279: EV279 @ (22,58)
  Event 280: EV280 @ (21,58)
  Event 281: EV281 @ (18,57)
  Event 282: EV282 @ (17,57)
  Event 283: EV283 @ (14,55)
  Event 284: EV284 @ (15,56)
  Event 285: EV285 @ (91,58)
  Event 286: EV286 @ (43,83)
  Event 287: EV287 @ (42,82)
  Event 288: EV288 @ (90,77)
  Event 289: EV289 @ (89,77)
  Event 290: EV290 @ (89,88)
  Event 291: EV291 @ (88,89)
  Event 292: EV292 @ (87,89)
  Event 293: EV293 @ (85,80)
  Event 294: EV294 @ (76,84)
  Event 295: EV295 @ (73,83)
  Event 296: EV296 @ (74,83)
  Event 297: EV297 @ (40,81)
  Event 298: EV298 @ (38,81)
  Event 299: EV299 @ (38,73)
  Event 300: EV300 @ (26,57)
  Event 301: EV301 @ (84,80)
  Event 302: EV302 @ (77,84)
  Event 303: EV303 @ (53,72)
  Event 304: EV304 @ (60,70)
  Event 305: EV305 @ (65,77)
  Event 306: EV306 @ (79,86)
  Event 307: EV307 @ (86,66)
  Event 308: EV308 @ (53,8)
  Event 309: EV309 @ (54,9)
  Event 310: EV310 @ (59,9)
  Event 311: EV311 @ (58,9)
  Event 312: EV312 @ (48,10)
  Event 313: EV313 @ (47,10)
  Event 314: EV314 @ (42,10)
  Event 315: EV315 @ (43,10)
  Event 316: EV316 @ (37,9)
  Event 317: EV317 @ (38,10)
  Event 318: EV318 @ (41,6)
  Event 319: EV319 @ (27,8)
  Event 320: EV320 @ (26,8)
  Event 321: EV321 @ (44,6)
  Event 322: EV322 @ (43,6)
  Event 323: EV323 @ (44,10)
  Event 324: EV324 @ (45,10)
  Event 325: EV325 @ (55,9)
  Event 326: EV326 @ (56,9)
  Event 327: EV327 @ (57,9)
  Event 328: EV328 @ (25,7)
  Event 329: EV329 @ (28,8)
  Event 330: EV330 @ (46,10)
  Event 331: EV331 @ (41,10)
  Event 332: EV332 @ (33,51)
    Page0: trigger=0  <face @niko It's full of eels!> | <face @niko_what Wait, no...> | <face @niko_wtf2 It's full of snakes...>
    Page1: trigger=0  <face @niko_eyeclosed Snakes...>
  Event 333: EV333 @ (67,11)
  Event 334: EV334 @ (43,24)
  Event 335: EV335 @ (23,25)
  Event 336: EV336 @ (14,29)
  Event 337: EV337 @ (14,39)
  Event 338: EV338 @ (9,50)
  Event 339: EV339 @ (85,53)
  Event 340: EV340 @ (77,35)
  Event 341: EV341 @ (85,71)
  Event 342: EV342 @ (83,82)
  Event 343: EV343 @ (35,73)
  Event 344: EV344 @ (51,70)
  Event 345: EV345 @ (62,74)
  Event 346: EV346 @ (20,60)
  Event 347: EV347 @ (8,46)
  Event 348: EV348 @ (13,56)
  Event 349: EV349 @ (28,72)
  Event 350: EV350 @ (81,83)
  Event 351: EV351 @ (96,67)
  Event 352: EV352 @ (58,79)
  Event 353: EV353 @ (87,40)
  Event 354: EV354 @ (71,36)
  Event 355: EV355 @ (13,30)
  Event 356: EV356 @ (38,26)
  Event 357: EV357 @ (15,34)
  Event 358: EV358 @ (17,58)
  Event 359: EV359 @ (48,70)
  Event 360: EV360 @ (60,72)
  Event 361: EV361 @ (75,84)
  Event 362: EV362 @ (90,78)
  Event 363: EV363 @ (91,59)
  Event 364: EV364 @ (84,43)
  Event 365: EV365 @ (26,60)
  Event 366: EV366 @ (16,60)
  Event 367: EV367 @ (11,51)
  Event 368: EV368 @ (27,24)
  Event 369: EV369 @ (13,32)
  Event 370: EV370 @ (37,22)
  Event 371: EV371 @ (52,23)
  Event 372: EV372 @ (68,33)
  Event 373: EV373 @ (76,37)
  Event 374: EV374 @ (64,35)
  Event 375: EV375 @ (86,49)
  Event 376: EV376 @ (85,81)
  Event 377: EV377 @ (69,83)
  Event 378: EV378 @ (64,75)
  Event 379: EV379 @ (53,82)
  Event 380: EV380 @ (46,84)
  Event 381: EV381 @ (23,59)
  Event 382: EV382 @ (16,57)
  Event 383: EV383 @ (32,50)
    Page0: trigger=0  <face This is the best fishing spot I've found yet!> | <face All the fish I catch here are longer than my arm!>
  Event 384: EV384 @ (32,47)
  Event 385: EV385 @ (65,30)
  Event 386: EV386 @ (63,28)
  Event 387: EV387 @ (62,27)
  Event 388: EV388 @ (54,30)
  Event 389: EV389 @ (50,29)
  Event 390: EV390 @ (49,28)
  Event 391: EV391 @ (27,33)
  Event 392: EV392 @ (12,54)
  Event 393: EV393 @ (15,37)
  Event 394: EV394 @ (10,42)
  Event 395: EV395 @ (62,46)
  Event 396: niko npc @ (64,46)
  Event 397: EV397 @ (90,46)
  Event 398: EV398 @ (20,27)
  Event 399: EV399 @ (47,23)
  Event 400: EV400 @ (42,22)
  Event 401: EV401 @ (37,19)
  Event 402: EV402 @ (49,24)
  Event 403: EV403 @ (32,21)
  Event 404: EV404 @ (41,25)
  Event 405: EV405 @ (35,21)
