Map 200: Dock  (94x94, tileset=4)
  Event 137: water @ (76,63)
  Event 138: water @ (76,53)
  Event 139: water @ (76,47)
  Event 140: water @ (67,47)
  Event 141: water @ (64,47)
  Event 142: water @ (66,44)
  Event 143: water @ (67,39)
  Event 144: water @ (74,40)
  Event 145: water @ (79,45)
  Event 146: water @ (64,36)
  Event 147: water @ (67,35)
  Event 148: water @ (60,33)
  Event 149: water @ (60,30)
  Event 150: water @ (62,29)
  Event 151: water @ (70,35)
  Event 152: water @ (66,36)
  Event 153: water @ (68,35)
  Event 154: water @ (69,35)
  Event 155: water @ (59,31)
  Event 156: water @ (58,29)
  Event 157: water @ (62,32)
  Event 158: trader @ (44,45)
    Page0: trigger=0  <face @magpie By the way... if you ever see a big guy with goggles and a cool helmet..> | <face @magpie_smile Tell him the trader in the Glen said hi!> | <face @magpie Also ask him if he has any more music boxes for trading.> | <face @niko Will do!> | <face @niko_speak Oh! You're the trader guy!> | <face @magpie_smile Sure am!\>\n\@magpie You here to trade?> | <face @magpie_hm 'Cause if you are, then I got bad news for ya.> | <face @magpie_hm A lot of my stuff is back at my cart, which was sadly abandoned when I was running for my life.> | <face @magpie So my collection is...\.\. very limited right now.> | <face @magpie_smile Managed to grab some of my favorite things before I left, though!> | <face @niko_speak Oh! Uh...> | <face @niko Do you have anything like...\.\. gears?> | <face @magpie_oh Gears?\.\. Like... the metal spinny things? \>\@magpie I don't think I have anything like that...> | <face @magpie_oh Wait.> | <face @magpie I do have this box thing that you can wind up and play a song.> | <face @niko_speak That's a music box!> | <face @magpie_smile Yeah!\n\>\@magpie I bet there's lots of little metal bits in there!> | <face @niko_speak Oh! That might work!> | <face @magpie_hm But I'm not sure if I want to trade it away...\>\nIt's one of my favorite things!> | <face @niko_eyeclosed Aw...> | <face @magpie_hm ...> | <face @magpie_oh Oh, what am I saying!\>\n\@magpie_smile You're the savior!> | <face @magpie_hm Things have been getting bad around here lately.> | <face @magpie_smile If I don't help you, I might not even be around much longer...> | <face @magpie You need this to save the world, right?\>\nTake it.> | <face @niko_speak Ah! Thank you!>
  Event 159: water @ (69,28)
  Event 160: south exit @ (50,66)
  Event 161: EV161 @ (16,57)
  Event 162: EV162 @ (32,69)
  Event 163: EV163 @ (20,66)
  Event 164: EV164 @ (19,48)
  Event 165: EV165 @ (20,39)
  Event 166: EV166 @ (19,31)
  Event 167: EV167 @ (22,36)
  Event 168: EV168 @ (20,43)
  Event 169: EV169 @ (20,50)
  Event 170: EV170 @ (13,54)
  Event 171: EV171 @ (17,59)
  Event 172: EV172 @ (30,67)
  Event 173: EV173 @ (22,63)
  Event 174: EV174 @ (43,64)
  Event 175: EV175 @ (48,67)
  Event 176: EV176 @ (55,66)
  Event 177: EV177 @ (65,60)
  Event 178: EV178 @ (60,47)
  Event 179: EV179 @ (60,41)
  Event 180: EV180 @ (62,50)
  Event 181: EV181 @ (53,64)
  Event 182: EV182 @ (43,67)
  Event 183: EV183 @ (22,66)
  Event 184: EV184 @ (36,70)
  Event 185: EV185 @ (21,58)
  Event 186: EV186 @ (18,64)
  Event 187: EV187 @ (26,63)
  Event 188: EV188 @ (18,52)
  Event 189: EV189 @ (26,26)
  Event 190: EV190 @ (19,36)
  Event 191: EV191 @ (44,25)
  Event 192: EV192 @ (56,24)
  Event 193: EV193 @ (36,25)
  Event 194: EV194 @ (29,25)
  Event 195: EV195 @ (20,29)
  Event 196: EV196 @ (23,32)
  Event 197: EV197 @ (16,49)
  Event 198: EV198 @ (15,62)
  Event 199: EV199 @ (18,60)
  Event 200: EV200 @ (20,49)
  Event 201: EV201 @ (21,50)
  Event 202: EV202 @ (28,41)
  Event 203: EV203 @ (43,26)
  Event 204: EV204 @ (21,33)
  Event 205: EV205 @ (16,52)
  Event 206: EV206 @ (26,51)
  Event 207: EV207 @ (21,61)
  Event 208: EV208 @ (34,68)
  Event 209: EV209 @ (41,68)
  Event 210: EV210 @ (55,61)
  Event 211: EV211 @ (58,66)
  Event 212: EV212 @ (64,66)
  Event 213: EV213 @ (60,50)
  Event 214: EV214 @ (54,45)
  Event 215: EV215 @ (59,32)
  Event 216: EV216 @ (46,25)
  Event 217: EV217 @ (57,26)
  Event 218: EV218 @ (64,37)
  Event 219: EV219 @ (59,38)
    Page0: trigger=0  <face Hm...> | <face Nothing's biting...>
  Event 220: EV220 @ (62,34)
    Page0: trigger=0  <face Hi I'm an inaccessible npc.>
  Event 221: EV221 @ (58,39)
    Page0: trigger=0  <face @niko A few small fish are in the bottom of this jar.>
  Event 222: EV222 @ (55,35)
    Page0: trigger=0  <face @niko These are filled with small, dried fish.>
  Event 223: EV223 @ (51,37)
    Page0: trigger=0  <face @niko_speak It's full of fish heads!>
  Event 224: EV224 @ (48,37)
    Page0: trigger=0  <face @niko Filled with small, dried fish.>
  Event 225: EV225 @ (46,36)
    Page0: trigger=0  <face @niko_speak These look like crab shells.>
  Event 226: EV226 @ (48,23)
  Event 227: EV227 @ (42,30)
  Event 228: EV228 @ (24,28)
  Event 229: EV229 @ (25,29)
  Event 230: EV230 @ (61,30)
  Event 231: EV231 @ (65,40)
  Event 232: EV232 @ (63,44)
  Event 233: EV233 @ (63,41)
  Event 234: EV234 @ (66,58)
  Event 235: EV235 @ (49,63)
  Event 236: EV236 @ (26,70)
  Event 237: EV237 @ (29,42)
  Event 238: EV238 @ (25,41)
  Event 239: EV239 @ (29,32)
  Event 240: EV240 @ (31,31)
  Event 241: EV241 @ (34,36)
  Event 242: water @ (53,23)
  Event 243: water @ (55,23)
  Event 244: water @ (57,23)
  Event 245: water @ (59,25)
  Event 246: water @ (61,28)
  Event 247: water @ (50,23)
  Event 248: water @ (51,23)
  Event 249: water @ (54,23)
  Event 250: water @ (56,23)
  Event 251: water @ (58,23)
  Event 252: water @ (60,27)
  Event 253: water @ (62,26)
  Event 254: friendly child npc @ (49,41)
    Page0: trigger=0  <face *sniff*> | <face @niko Are you okay?> | <face I WANNA GO BACK HOME!!!>
  Event 255: moss npc @ (35,49)
    Page0: trigger=0  <face This island has more moss covering than our village did.> | <face Would've been nice to build a settlement here.> | <face ...too late now, I guess.>
  Event 256: worried npc @ (56,52)
    Page0: trigger=0  <face The land fragmentation is happening faster and faster now...> | <face But...\.\. looks like the vines are slowing it down...>
  Event 257: fisherman npc @ (43,28)
    Page0: trigger=0  <face Our village was ransacked by the squares not long ago...> | <face Most of us made it out alive, but we can't really go back anymore.> | <face @niko3 Oh...> | <face Squares are bad news, man.>
  Event 258: pessimistic npc @ (47,47)
    Page0: trigger=0  <face Sigh...> | <face We won't last long now, will we?> | <face The sun can't fix the squares...> | <face The sun can't restore the land...>
  Event 259: child npc @ (44,35)
    Page0: trigger=0  <face The vines are everywhere!> | <face The plant lady must be protecting us!> | <face @niko_upset ...yeah...>
  Event 260: door left @ (41,27)
  Event 261: door left @ (40,26)
  Event 262: door left @ (41,29)
  Event 263: door left @ (40,31)
  Event 264: water @ (70,47)
  Event 265: water @ (65,36)
  Event 266: water @ (40,60)
  Event 267: water @ (39,59)
  Event 268: water @ (35,56)
  Event 269: water @ (36,53)
  Event 270: water @ (37,53)
  Event 271: water @ (38,54)
  Event 272: water @ (32,58)
  Event 273: water @ (31,58)
  Event 274: water @ (30,58)
  Event 275: water @ (29,58)
  Event 276: water @ (28,59)
  Event 277: water @ (27,59)
  Event 278: water @ (30,50)
  Event 279: water @ (31,50)
  Event 280: water @ (29,51)
  Event 281: water @ (28,52)
  Event 282: water @ (35,52)
  Event 283: water @ (39,47)
  Event 284: water @ (38,46)
  Event 285: water @ (36,43)
  Event 286: water @ (32,40)
  Event 287: water @ (33,40)
  Event 288: water @ (34,39)
  Event 289: water @ (35,38)
  Event 290: water @ (36,37)
  Event 291: water @ (33,46)
  Event 292: water @ (32,47)
  Event 293: water @ (59,51)
  Event 294: water @ (62,54)
  Event 295: water @ (61,56)
  Event 296: water @ (60,57)
  Event 297: water @ (67,56)
  Event 298: EV298 @ (54,50)
  Event 299: EV299 @ (57,53)
  Event 300: EV300 @ (57,54)
  Event 301: EV301 @ (57,55)
  Event 302: EV302 @ (57,56)
  Event 303: EV303 @ (56,58)
  Event 304: EV304 @ (54,46)
  Event 305: EV305 @ (37,40)
  Event 306: EV306 @ (37,41)
  Event 307: EV307 @ (37,42)
  Event 308: EV308 @ (37,43)
  Event 309: EV309 @ (37,44)
  Event 310: EV310 @ (37,45)
  Event 311: EV311 @ (39,37)
  Event 312: EV312 @ (40,37)
  Event 313: water @ (43,29)
  Event 314: water @ (44,30)
  Event 315: EV315 @ (42,59)
  Event 316: EV316 @ (59,34)
  Event 317: blanket @ (42,45)
  Event 318: blanket @ (41,45)
  Event 319: blanket @ (43,45)
  Event 320: EV320 @ (39,30)
  Event 321: EV321 @ (39,29)
  Event 322: EV322 @ (40,28)
  Event 323: water @ (52,29)
  Event 324: water @ (54,29)
  Event 325: water @ (56,29)
  Event 326: water @ (53,29)
  Event 327: water @ (55,29)
  Event 328: EV328 @ (57,30)
  Event 329: EV329 @ (44,29)
  Event 330: EV330 @ (43,32)
  Event 331: shephard @ (54,38)
    Page0: trigger=0  <face @shepherd What a day...>
  Event 332: ram @ (57,36)
  Event 333: ram @ (52,40)
  Event 334: ram @ (45,32)
  Event 335: ram @ (39,42)
  Event 336: ram @ (57,57)
  Event 337: ram @ (51,47)
  Event 338: ram @ (41,48)
