Map 85: ground 2  (136x54, tileset=12)
  Event 24: MapDoorEventSpawn @ (15,16)
  Event 25: plight work @ (111,16)
  Event 26: light @ (110,15)
  Event 27: EV027 @ (22,18)
  Event 28: EV028 @ (26,23)
  Event 29: EV029 @ (33,23)
  Event 30: EV030 @ (45,23)
  Event 31: EV031 @ (51,23)
  Event 32: EV032 @ (57,23)
  Event 33: EV033 @ (63,23)
  Event 34: EV034 @ (69,23)
  Event 35: EV035 @ (75,23)
  Event 36: EV036 @ (81,23)
  Event 37: EV037 @ (87,23)
  Event 38: EV038 @ (92,23)
  Event 39: EV039 @ (98,23)
  Event 40: EV040 @ (104,23)
  Event 41: EV041 @ (110,23)
  Event 42: EV042 @ (39,23)
  Event 43: EV043 @ (20,23)
  Event 44: EV044 @ (26,22)
  Event 45: EV045 @ (20,22)
  Event 46: EV046 @ (33,22)
  Event 47: EV047 @ (39,22)
  Event 48: EV048 @ (45,22)
  Event 49: EV049 @ (51,22)
  Event 50: EV050 @ (57,22)
  Event 51: EV051 @ (63,22)
  Event 52: EV052 @ (69,22)
  Event 53: EV053 @ (75,22)
  Event 54: EV054 @ (81,22)
  Event 55: EV055 @ (87,22)
  Event 56: EV056 @ (92,22)
  Event 57: EV057 @ (98,22)
  Event 58: EV058 @ (104,22)
  Event 59: EV059 @ (110,22)
  Event 60: EV060 @ (99,16)
  Event 61: EV061 @ (88,16)
  Event 62: EV062 @ (77,16)
  Event 63: EV063 @ (66,16)
  Event 64: EV064 @ (99,15)
  Event 65: EV065 @ (88,15)
  Event 66: EV066 @ (77,15)
  Event 67: EV067 @ (66,15)
  Event 68: EV068 @ (55,15)
  Event 69: EV069 @ (44,15)
  Event 70: EV070 @ (33,15)
  Event 71: EV071 @ (22,17)
  Event 72: EV072 @ (33,16)
  Event 73: EV073 @ (44,16)
  Event 74: EV074 @ (55,16)
  Event 75: map events @ (110,12)
    Page0: trigger=3  <face @plight_2 Well, good luck...> | <face @niko_speak You too! \>\@niko With the lamp.> | <face @plight Hey, you lookin for something?> | <face @niko_eyeclosed Yeah... I need to go find a library card now...\>\n\@niko Any idea where I can get one?> | <face @plight From...\> the...\> library?> | <face @niko_eyeclosed I tried that already!\>\n\@niko The person in charge wasn't here.> | <face @plight Oh, uh...> | <face @plight_2 Maybe check out the factory? You just take the stairs at the end of this street and make a turn.> | <face @plight There's a lot of scientists there.\>\n\@plight_worry Scientists... read books, right?> | <face @plight They might help you...> | <face @niko He looks busy...> | <face @plight_why You can tell, huh...> | <face @plight Oh, hey there.> | <face @plight_2 You, uh... \.\.doing okay?> | <face @niko Yup!\>\n\@niko_speak What are you doing?> | <face @plight Just filling this lamp here...> | <face @plight_2 It's...\.\.\. taking a while...> | <face @plight_worry I...\.\. think it might be leaking...>
    Page1: trigger=3  <face @plight Well, good luck...> | <face @plight Thanks for taking them off my hands, I guess?\>\nThe lenses, that is.> | <face @plight_2b The scientists wanted me to use them to fix the camera in the photo booth, but...> | <face @plight_why ...you can imagine how that went.> | <face @plight_worry I'm just glad I didn't break anything...> | <face @plight_shock Hey! Isn't that...> | <face @plight_wtf ...> | <face @plight_worry (oH GOODNESS GRACIOUS DID THE MESSIAH AND LITERALLY GOD THEMSELF JUST BREAK INTO MY HOUSE.)> | <face @niko_speak Oh! Was that... your...> | <face @plight_wtf You heard me??> | <face @plight_worry (IT KEEPS HAPPENING.)> | <face @niko_eyeclosed ...sorry about breaking into your house.\>\n\@niko We didn't actually break anything, but...> | <face @niko_speak \p said I should take these plastic disks, for some reason?\>\n\@niko Should we put them back?> | <face @plight_2 It's okay, keep 'em.> | <face @plight_worry I wouldn't have been able to fix that machine anyway...>
  Event 76: plight work @ (110,16)
    Page0: trigger=0  <face @niko_speak A streetlamp!\>\n\@niko This one seems taller than the others...>
  Event 77: plight work @ (112,16)
