Map 12: Start point  (70x100, tileset=2)
  Event 260: EV260 @ (46,15)
  Event 261: EV261 @ (33,15)
  Event 262: EV262 @ (30,16)
  Event 263: EV263 @ (30,20)
  Event 264: EV264 @ (33,25)
  Event 265: EV265 @ (35,32)
  Event 266: EV266 @ (36,31)
  Event 267: EV267 @ (35,35)
  Event 268: EV268 @ (36,40)
  Event 269: EV269 @ (40,45)
  Event 270: EV270 @ (41,51)
  Event 271: EV271 @ (53,59)
  Event 272: EV272 @ (53,63)
  Event 273: EV273 @ (59,64)
  Event 274: EV274 @ (64,62)
  Event 275: EV275 @ (68,65)
  Event 276: EV276 @ (46,52)
  Event 277: EV277 @ (42,54)
  Event 278: EV278 @ (38,45)
  Event 279: EV279 @ (34,44)
  Event 280: EV280 @ (35,25)
  Event 281: EV281 @ (32,8)
  Event 282: EV282 @ (42,16)
  Event 283: EV283 @ (37,25)
  Event 284: EV284 @ (32,16)
  Event 285: EV285 @ (31,25)
  Event 286: EV286 @ (35,3)
  Event 287: EV287 @ (36,33)
  Event 288: EV288 @ (37,41)
  Event 289: EV289 @ (44,44)
  Event 290: EV290 @ (50,38)
  Event 291: EV291 @ (47,25)
  Event 292: EV292 @ (35,20)
  Event 293: EV293 @ (35,4)
  Event 294: EV294 @ (36,1)
  Event 295: EV295 @ (41,21)
  Event 296: EV296 @ (37,3)
  Event 297: EV297 @ (50,21)
  Event 298: dead robot head @ (28,29)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko_what Just a head, yikes...>
  Event 300: EV300 @ (27,39)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko A robot.> | <face @niko_eyeclosed It's beyond repair.>
  Event 301: EV301 @ (39,61)
    Page0: trigger=0  <face @ed [What's left of a robot.]>
    Page1: trigger=0  <face @niko A robot.> | <face @niko_eyeclosed It's beyond repair.>
  Event 302: EV302 @ (34,49)
    Page0: trigger=0  <face @niko A depowered robot.> | <face @ed [A robot. It no longer has power.]>
    Page1: trigger=0  <face [I AM FUNCTIONAL!]> | <face @niko M-hm!>
