===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   1| Show Text              | @niko_speak ...It changed color!
   1| Change Items           | 15 | 1 | 0 | 1
   1| Change Items           | 22 | 1 | 0 | 1
   1| Change Items           | 16 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 17 | 0
   1| Conditional Branch     | 0 | 46 | 0
   2| Show Text              | @niko I'm guessing you want me to pour this acid onto the sponge, \p?
   2| Show Text              | @niko_speak Good thing I have these gloves!
   2| Play SE                | dip (vol=100, pitch=100)
   2| Wait                   | 60
   2| Show Text              | @niko_speak I hope this works...
   2| Change Items           | 20 | 1 | 0 | 1
   2| Change Items           | 16 | 1 | 0 | 1
   2| Change Items           | 17 | 0 | 0 | 1
   2| Play BGS               | item_get (vol=100, pitch=100)
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @niko I'm guessing you want me to pour this acid onto the sponge, \p?
   2| Show Text              | @niko_speak \.\.\...wait! \.\. \@niko Shouldn't I be wearing gloves for this?
   2| Show Text              | @niko_speak Safety first!
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 30 | 0
   1| Show Text              | @niko_speak Oh yeah! We can use the feather as a pen!
   1| Show Text              | @niko I saw it in a picture book once.
   1| Play SE                | dip (vol=100, pitch=130)
   1| Change Items           | 25 | 1 | 0 | 1
   1| Change Items           | 26 | 1 | 0 | 1
   1| Change Items           | 30 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 32 | 0
   1| Show Text              | @niko_speak Oh! Maybe we can make a button out of this!
   1| Show Text              | @niko I can cut out a piece of the can and fold it into a rectangle shape...
   1| Show Text              | @niko Just like arts and crafts!
   1| Wait                   | 20
   1| Show Text              | @niko Hmm... I don't think it's supposed to be this simple.
   1| Show Text              | @niko_speak How are we gonna connect it to the elevator?
   1| Show Text              | @niko_speak Well, let's find out!
   1| Change Items           | 38 | 1 | 0 | 1
   1| Change Items           | 37 | 1 | 0 | 1
   1| Change Items           | 32 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 33 | 0
   1| Show Text              | @niko The magnets don't stick to the aluminum, but...
   1| Show Text              | @niko_speak Oh! What if I just folded the magnets under this edge?
   1| Show Text              | @niko Hmm...\| It's holding together, if just barely.
   1| Show Text              | @niko I... hope that's good enough?
   1| Change Items           | 32 | 1 | 0 | 1
   1| Change Items           | 36 | 1 | 0 | 1
   1| Change Items           | 33 | 0 | 0 | 1
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 100 | 0
   1| Show Text              | @niko The magnets don't stick to aluminum...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 53 | 0
   1| Show Text              | @niko The back of the photo is covered in glue.
   1| Show Text              | @niko ...and glitter.
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| Change Items           | 53 | 0 | 0 | 1
   1| Change Items           | 44 | 1 | 0 | 1
   1| Change Items           | 45 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 71 | 1
   1| Conditional Branch     | 1 | 2 | 0 | 80 | 2
   2| Show Text              | @niko The back of the photo is covered in glue.
   2| Show Text              | @niko ...and glitter.
   2| Play BGS               | item_get (vol=100, pitch=100)
   2| Change Items           | 53 | 0 | 0 | 1
   2| Change Items           | 44 | 1 | 0 | 1
   2| Conditional Branch     | 1 | 2 | 0 | 71 | 0
   3| Change Items           | 61 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 2 | 0 | 72 | 0
   4| Change Items           | 62 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 2 | 0 | 73 | 0
   5| Change Items           | 63 | 1 | 0 | 1
   5| (code 0)               |
   4| Conditional Else       |
   5| Conditional Branch     | 1 | 2 | 0 | 74 | 0
   6| Change Items           | 64 | 1 | 0 | 1
   6| (code 0)               |
   5| Conditional Else       |
   6| Conditional Branch     | 1 | 2 | 0 | 75 | 0
   7| Change Items           | 65 | 1 | 0 | 1
   7| (code 0)               |
   6| Conditional Else       |
   7| Conditional Branch     | 1 | 2 | 0 | 76 | 0
   8| Change Items           | 66 | 1 | 0 | 1
   8| (code 0)               |
   7| Conditional Else       |
   8| Conditional Branch     | 1 | 2 | 0 | 77 | 0
   9| Change Items           | 67 | 1 | 0 | 1
   9| (code 0)               |
   8| Conditional Else       |
   9| Conditional Branch     | 1 | 2 | 0 | 78 | 0
  10| Change Items           | 68 | 1 | 0 | 1
  10| (code 0)               |
   9| Conditional Else       |
  10| Conditional Branch     | 1 | 2 | 0 | 79 | 0
  11| Change Items           | 69 | 1 | 0 | 1
  11| (code 0)               |
  10| Conditional Else       |
  11| Change Items           | 70 | 1 | 0 | 1
  11| (code 0)               |
  10| Conditional End        |
  10| (code 0)               |
   9| Conditional End        |
   9| (code 0)               |
   8| Conditional End        |
   8| (code 0)               |
   7| Conditional End        |
   7| (code 0)               |
   6| Conditional End        |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 61 | 1
   1| Conditional Branch     | 1 | 2 | 0 | 70 | 2
   2| Show Text              | @niko The card has my face on it now.
   2| Play BGS               | item_get (vol=100, pitch=100)
   2| Change Items           | 51 | 0 | 0 | 1
   2| Change Items           | 52 | 1 | 0 | 1
   2| Conditional Branch     | 1 | 2 | 0 | 61 | 0
   3| Change Items           | 61 | 1 | 0 | 1
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 2 | 0 | 62 | 0
   4| Change Items           | 62 | 1 | 0 | 1
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 2 | 0 | 63 | 0
   5| Change Items           | 63 | 1 | 0 | 1
   5| (code 0)               |
   4| Conditional Else       |
   5| Conditional Branch     | 1 | 2 | 0 | 64 | 0
   6| Change Items           | 64 | 1 | 0 | 1
   6| (code 0)               |
   5| Conditional Else       |
   6| Conditional Branch     | 1 | 2 | 0 | 65 | 0
   7| Change Items           | 65 | 1 | 0 | 1
   7| (code 0)               |
   6| Conditional Else       |
   7| Conditional Branch     | 1 | 2 | 0 | 66 | 0
   8| Change Items           | 66 | 1 | 0 | 1
   8| (code 0)               |
   7| Conditional Else       |
   8| Conditional Branch     | 1 | 2 | 0 | 67 | 0
   9| Change Items           | 67 | 1 | 0 | 1
   9| (code 0)               |
   8| Conditional Else       |
   9| Conditional Branch     | 1 | 2 | 0 | 68 | 0
  10| Change Items           | 68 | 1 | 0 | 1
  10| (code 0)               |
   9| Conditional Else       |
  10| Conditional Branch     | 1 | 2 | 0 | 69 | 0
  11| Change Items           | 69 | 1 | 0 | 1
  11| (code 0)               |
  10| Conditional Else       |
  11| Change Items           | 70 | 1 | 0 | 1
  11| (code 0)               |
  10| Conditional End        |
  10| (code 0)               |
   9| Conditional End        |
   9| (code 0)               |
   8| Conditional End        |
   8| (code 0)               |
   7| Conditional End        |
   7| (code 0)               |
   6| Conditional End        |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 52 | 0
   1| Show Text              | @niko The card is covered in glue.
   1| Show Text              | @niko ...and glitter.
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| Change Items           | 52 | 0 | 0 | 1
   1| Change Items           | 44 | 1 | 0 | 1
   1| Change Items           | 46 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 51 | 0
   1| Show Text              | @niko The card has my face on it now.
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| Change Items           | 51 | 0 | 0 | 1
   1| Change Items           | 46 | 1 | 0 | 1
   1| Change Items           | 52 | 1 | 0 | 1
   1| Change Items           | 45 | 1 | 0 | 1
   1| Change Items           | 53 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 2 | 0 | 57 | 0
   1| Show Text              | @niko_speak So, put the pill in the water?
   1| Play SE                | dip (vol=80, pitch=100)
   1| Wait                   | 10
   1| Show Text              | @niko It dissolved really fast!
   1| Play BGS               | item_get (vol=100, pitch=100)
   1| Change Items           | 57 | 0 | 0 | 1
   1| Change Items           | 56 | 1 | 0 | 1
   1| Change Items           | 27 | 1 | 0 | 1
   1| (code 0)               |
   0| Conditional End        |
   0| Control Switches       | 1 | 1 | 1
   0| (code 0)               |

[CommonEvent 2] Text
  trigger=1 switch_id=9
   0| Conditional Branch     | 1 | 5 | 0 | 1 | 0
   1| Show Text              | @niko The jar is full of fireflies.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 2 | 0
   1| Show Text              | @niko Coals.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 3 | 0
   1| Show Text              | @niko It's some kind of stew.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 4 | 0
   1| Show Text              | @niko It's a jar full of fireflies.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 5 | 0
   1| Conditional Branch     | 1 | 1 | 0 | 11 | 0
   2| Show Text              | @niko_eyeclosed I can't reach the top, \p...
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 1 | 0 | 60 | 0
   3| Show Text              | @niko_eyeclosed I can't reach the top, \p...
   3| (code 0)               |
   2| Conditional Else       |
   3| Show Text              | @niko It's a gas vent.
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 6 | 0
   1| Conditional Branch     | 4 | 2 | 0
   2| Show Text              | @niko Small sprouts. \>\@niko_speak We gotta be careful we don't step on these!
   2| Show Text              | @alula You got it!
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Text              | @niko Small sprouts. \>\@niko_speak I gotta be careful I don't step on these!
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 7 | 0
   1| Show Text              | @niko It's a small tree.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 8 | 0
   1| Show Text              | @niko It's off.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 9 | 0
   1| Show Text              | @niko It's a fridge.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 10 | 0
   1| Show Text              | @niko It's a little plant.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 11 | 0
   1| Show Text              | @niko It's a trash bin.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 12 | 0
   1| Show Text              | @niko A bag full of trash.
   1| Show Text              | @niko_eyeclosed Gross!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 13 | 0
   1| Show Text              | @niko It's a bed.
   1| Show Text              | @niko ...well, more like a mattress.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 14 | 0
   1| Show Text              | @niko Jars of fireflies are placed next to the fields.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 15 | 0
   1| Show Text              | @niko Just a jar.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 16 | 0
   1| Show Text              | @niko Some jars.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 17 | 0
   1| Show Text              | @niko A streetlamp.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 18 | 0
   1| Show Text              | @niko_eyeclosed More of those squares...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 19 | 0
   1| Show Text              | @niko3 Those squares again...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 20 | 0
   1| Show Text              | @niko_huh These squares are just everywhere...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 21 | 0
   1| Show Text              | @niko This looks like an altar...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 22 | 0
   1| Show Text              | @niko_speak Fish!
   1| Conditional Branch     | 0 | 224 | 0
   2| Conditional Branch     | 1 | 12 | 0 | 16 | 1
   3| Control Variables      | 5 | 5 | 0 | 0 | 0
   3| Control Switches       | 9 | 9 | 1
   3| Exit Event Processing  |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| Show Text              | @alula_speak Fish!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 23 | 0
   1| Show Text              | @niko_speak It's clothes!
   1| Conditional Branch     | 0 | 224 | 0
   2| Conditional Branch     | 1 | 12 | 0 | 16 | 1
   3| Control Variables      | 5 | 5 | 0 | 0 | 0
   3| Control Switches       | 9 | 9 | 1
   3| Exit Event Processing  |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| Show Text              | @calamus_shame Oh! I should probably take these in soon!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 24 | 0
   1| Show Text              | @niko It's a big metal box with complicated machinery inside.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 25 | 0
   1| Show Text              | @niko It's a big metal box with lots of machinery inside. \.\.\@niko_speak This one has a robot in it!
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 26 | 0
   1| Show Text              | @niko It's a bookshelf.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 27 | 0
   1| Show Text              | @niko It's a shelf full of little machine parts and tools I don't recognize.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 28 | 0
   1| Show Text              | @niko It's a gravestone.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 29 | 0
   1| Show Text              | @niko A robot without power.
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 30 | 0
   1| Show Text              | @niko_speak It's clothes!
   1| Conditional Branch     | 0 | 224 | 0
   2| Conditional Branch     | 1 | 12 | 0 | 16 | 1
   3| Control Variables      | 5 | 5 | 0 | 0 | 0
   3| Control Switches       | 9 | 9 | 1
   3| Exit Event Processing  |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| Show Text              | @calamus_shame Oh! I should probably take these in soon!
   1| Show Text              | @calamus ...wait.
   1| Show Text              | @calamus_sad ...we can't get back into our house...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 31 | 0
   1| Show Text              | @niko It's a blanket covered in shiny things.
   1| Show Text              | @magpie_hm Still kinda sad I lost most of my stuff...
   1| (code 0)               |
   0| Conditional End        |
   0| Conditional Branch     | 1 | 5 | 0 | 32 | 0
   1| Show Text              | @niko_eyeclosed I don't think it's safe to use this again, \p.
   1| (code 0)               |
   0| Conditional End        |
   0| Control Variables      | 5 | 5 | 0 | 0 | 0
   0| Control Switches       | 9 | 9 | 1
   0| (code 0)               |

[CommonEvent 3] Text Daemon
  trigger=2 switch_id=25
   0| Conditional Branch     | 1 | 5 | 0 | 0 | 3
   1| Control Switches       | 9 | 9 | 0
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 4] NO FAST TRAVEL
  trigger=0 switch_id=1
   0| Show Text              | @ed [You cannot fast travel right now.]
   0| (code 0)               |

[CommonEvent 5] Exit North
  trigger=0 switch_id=1
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e2375a910 @list=[#<RPG::MoveCommand:0x0000022e2375a258 @parameters=[], @code=19>, #<RPG::MoveCommand:0x0000022e23747310 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e2375a258 @parameters=[], @code=19>
   0| Control Switches       | 11 | 11 | 0
   0| (code 0)               |

[CommonEvent 6] Exit South
  trigger=0 switch_id=1
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e23717958 @list=[#<RPG::MoveCommand:0x0000022e23716cb0 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e23716c10 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e23716cb0 @parameters=[], @code=16>
   0| Control Switches       | 11 | 11 | 0
   0| (code 0)               |

[CommonEvent 7] Exit West
  trigger=0 switch_id=1
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e23714ff0 @list=[#<RPG::MoveCommand:0x0000022e23714898 @parameters=[], @code=17>, #<RPG::MoveCommand:0x0000022e237145c8 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e23714898 @parameters=[], @code=17>
   0| Control Switches       | 11 | 11 | 0
   0| (code 0)               |

[CommonEvent 8] Exit East
  trigger=0 switch_id=1
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e2370cb20 @list=[#<RPG::MoveCommand:0x0000022e2370cad0 @parameters=[], @code=18>, #<RPG::MoveCommand:0x0000022e2370c918 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e2370cad0 @parameters=[], @code=18>
   0| Control Switches       | 11 | 11 | 0
   0| (code 0)               |

[CommonEvent 9] Exit Transition
  trigger=1 switch_id=11
   0| Shake Screen           | #<Tone:0x0000022e23707ee0 @red=-255.0, @green=-255.0, @blue=-255.0, @gray=0.0> | 15
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e23707c38 @list=[#<RPG::MoveCommand:0x0000022e23707af8 @parameters=[], @code=37>, #<RPG::MoveCommand:0x0000022e237079e0 @parameters=[], @code=12>, #<RPG::MoveCommand:0x0000022e237078f0 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e23707af8 @parameters=[], @code=37>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e237079e0 @parameters=[], @code=12>
   0| Wait for Move          |
   0| Call Script            | $game_variables[22] = $game_player.x
   0| (code 655)             | $game_variables[23] = $game_player.y
   0| Conditional Branch     | 1 | 7 | 0 | 0 | 1
   1| Conditional Branch     | 1 | 8 | 0 | 0 | 1
   2| Transfer Player        | 1 | 6 | 7 | 8 | 0 | 0
   2| (code 0)               |
   1| Conditional Else       |
   2| Control Variables      | 23 | 23 | 1 | 1 | 10
   2| Transfer Player        | 1 | 6 | 7 | 23 | 0 | 0
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional Else       |
   1| Control Variables      | 22 | 22 | 1 | 1 | 9
   1| Transfer Player        | 1 | 6 | 22 | 8 | 0 | 0
   1| (code 0)               |
   0| Conditional End        |
   0| Shake Screen           | #<Tone:0x0000022e236ff330 @red=0.0, @green=0.0, @blue=0.0, @gray=0.0> | 15
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e236ff178 @list=[#<RPG::MoveCommand:0x0000022e236fecf0 @parameters=[], @code=12>, #<RPG::MoveCommand:0x0000022e236feae8 @parameters=[], @code=12>, #<RPG::MoveCommand:0x0000022e236fe930 @parameters=[], @code=38>, #<RPG::MoveCommand:0x0000022e236fe570 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e236fecf0 @parameters=[], @code=12>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e236feae8 @parameters=[], @code=12>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e236fe930 @parameters=[], @code=38>
   0| Wait for Move          |
   0| Control Switches       | 11 | 11 | 1
   0| (code 0)               |

[CommonEvent 10] Exit Reset
  trigger=0 switch_id=1
   0| Control Variables      | 7 | 7 | 0 | 0 | -1
   0| Control Variables      | 8 | 8 | 0 | 0 | -1
   0| (code 0)               |

[CommonEvent 11] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 12] Ram Noise
  trigger=0 switch_id=1
   0| Call Common Event      | 13
   0| Wait                   | 40
   0| (code 0)               |

[CommonEvent 13] Ram Noise (NoPause)
  trigger=0 switch_id=1
   0| Control Variables      | 22 | 22 | 0 | 2 | 1 | 7
   0| Conditional Branch     | 1 | 22 | 0 | 1 | 0
   1| Play SE                | sheep1 (vol=100, pitch=100)
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 22 | 0 | 2 | 0
   2| Play SE                | sheep2 (vol=100, pitch=100)
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 22 | 0 | 3 | 0
   3| Play SE                | sheep3 (vol=100, pitch=100)
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 22 | 0 | 4 | 0
   4| Play SE                | sheep4 (vol=100, pitch=100)
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 22 | 0 | 5 | 0
   5| Play SE                | sheep5 (vol=100, pitch=100)
   5| (code 0)               |
   4| Conditional Else       |
   5| Conditional Branch     | 1 | 22 | 0 | 6 | 0
   6| Play SE                | sheep6 (vol=100, pitch=100)
   6| (code 0)               |
   5| Conditional Else       |
   6| Conditional Branch     | 1 | 22 | 0 | 7 | 0
   7| Play SE                | sheep7 (vol=100, pitch=100)
   7| (code 0)               |
   6| Conditional End        |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 14] Fast travel explanation
  trigger=0 switch_id=1
   0| Fade SE                |
   0| Play BGS               | instruction1 (vol=85, pitch=80)
